Clinic_Name,Clinic_City,Clinic_State,SART_Member,Single_Women,Surrogates,Donor_Eggs_Shared,IVF_Rate,GIFT_Rate,ZIFT_Rate,ICSI_Rate,Diag_TubalRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Number_Cycles_LT35,Number_Cycles_35to39,Number_Cycles_GT39,Preg_Per_Cycle_LT35,Preg_Per_Cycle_35to39,Preg_Per_Cycle_GT39,Preg_Per_Cycle_Conf,Live_Births_Cycle_LT35,Live_Births_Cycle_35to39,Live_Births_Cycle_GT39,Live_Birthsr_Cycle_Conf,Live_Births_Retrv_LT35,Live_Births_Retrv_35to39,Live_Births_Retrv_GT39,Live_Births_Retrv_Conf,Live_Births_Trans_LT35,Live_Births_Trans_35to39,Live_Births_Trans_GT39,Live_Births_Trans_Conf,Cancel_LT35,Cancel_35to39,Cancel_GT39,AVG_Embryos_LT35,AVG_Embryos_35to39,AVG_Embryos_GT39,MultBirth_TW_LT35,MultBirth_TW_35to39,MultBirth_TW_GT39,MultBirth_TR_LT35,MultBirth_TR_35to39,MultBirth_TRW_GT39,Num_Transfer_LT35,Num_Transfer_35to39,Num_Transfer_GT39,Live_Births_TX_LT35,Live_Births_TX_35to39,Live_Births_TX_GT39,AVG_Num_TX_LT35,AVG_Num_TX_35to39,AVG_Num_TX_GT39,Num_Fresh_TX_LT35,Num_Fresh_TX_35to39,Num_Fresh_TX_GT39,Live_TX_LT35,Live_TX_35_39,Live_TX_GT39,AVG_TX_LT35,AVG_TX_35to39,AVG_TX_GT39
ART AT BIRMINGHAM,BIRMINGHAM,ALABAMA,YES,NO,NO,9%,100%,0%,0%,8%,39%,21%,1%,5%,33%,1%,  160,   66,   10,21.9,13.6,1/10,16.5 (11.2-22.8),20.6,9.1,0/10,12.6 (8.8-16.3),26.4,12.5,0/9,16.5 (11.7-21.3),30.8,13.6,0/8,18.9 (13.5-24.2),22.4,28.4,1/10,3.0,3.0,2.9,9.3,2.3,0/8,1.9,0.0,0/8,11,5,0,0/11,0/5,,2.6,3.0,,2,2,2,1/2,1/2,0/2,3.0,3.5,5.0
UNIVERSITY OF ALABAMA-BIRMINGHAM IVF PROGRAM,BIRMINGHAM,ALABAMA,YES,YES,YES,NO,58%,42%,0%,10%,44%,22%,0%,9%,16%,9%,   73,   39,   21,35.6,30.8,19.1,30.9 (23.0-38.8),21.9,28.2,9.5,22.0 (14.9-29.0),23.5,33.3,2/15,25.2 (17.2-33.3),23.9,34.4,2/15,25.8 (17.6-33.90),6.9,15.4,28.6,5.8,6.1,9.0,7.5,15.6,0/15,6.0,0.0,0/15,1,1,0,0/1,0/1,,2,4.0,,1,0,1,0/1,,0/1,3,,6.0
UNIVERSITY OF SOUTH ALABAMA REPRODUCTIVE ENDOCRINOLOGY,MOBILE,ALABAMA,YES,NO,YES,0%,96%,4%,0%,0%,65%,11%,16%,2%,4%,2%,   30,   17,    8,26.7,5/17,2/8,27.4 (15.4-39.3),16.7,3/17,2/8,18.5 (8.1-29.0),17.2,3/15,2/7,20.3 (8.9-31.7),17.2,3/15,2/7,20.3 (8.9-31.7),1/30,2/17,1/8,4.6,4.5,5.6,0.0,0/15,1/7,0.0,0/15,0/7,5,1,0,0/5,0/1,,4.0,3.0,,0,0,0,,,,,,
FERTILITY TREATMENT CENTER,CHANDLER,ARIZONA,YES,YES,NO,0%,100%,0%,0%,0%,53%,18%,1%,6%,19%,3%,   37,   27,   13,40.5,11.1,3/13,26.8 (17.4-36.2),27.0,7.4,2/13,17.9 (9.6-26.1),29.4,8.0,2/12,19.4 (10.5-28.3),29.4,8.7,2/11,19.9 (10.8-29.1),8.1,7.4,1/13,5.3,5.9,4.3,2.9,8.7,1/11,5.9,0.0,0/11,14,10,1,0/14,1/10,1/1,4.4,4.6,4.0,0,1,1,,0/1,0/1,,4.0,5.0
"ARIZONA INSTITUTE OF REPRODUCTIVE MEDICINE, LTD.",PHOENIX,ARIZONA,YES,YES,NO,<1%,100%,0%,0%,11%,29%,13%,13%,14%,31%,0%,   22,   18,   16,31.8,3/18,1/16,21.8 (10.7-32.9),27.3,2/18,0/16,16.5 (6.5-26.6),27.3,2/18,0/13,16.5 (6.5-26.6),6/17,2/14,0/10,21.4 (9.0-33.7),0.0,0/18,3/16,4.4,4.3,4.6,5/17,0/14,0/10,0/17,0/14,0/10,27,7,2,40.7,2/7,0/2,4.5,4.7,2.0,0,1,5,,0/1,2/5,,8.0,4.2
IVF PHOENIX,PHOENIX,ARIZONA,YES,YES,YES,0%,51%,49%,0%,21%,23%,9%,0%,15%,32%,21%,   22,   14,    8,45.5,5/14,1/8,36.0 (22.2-49.8),36.4,3/14,1/8,26.7 (13.9-39.4),36.4,3/10,1/6,30.5 (15.7-45.3),36.4,3/10,1/6,30.5 (15.7-45.3),0.0,4/14,2/8,4.4,4.7,5.2,4.6,0/10,0/6,9.1,0/10,0/6,1,1,1,0/1,0/1,0/1,4.0,4.0,6.0,0,0,0,,,,,,
"SOUTHWEST FERTILITY CENTER, LTD.",PHOENIX,ARIZONA,YES,YES,YES,0%,100%,0%,0%,33%,28%,3%,5%,3%,5%,56%,   18,   16,    5,5/18,5/16,1/5,27.6 (13.6-41.7),5/18,5/16,1/5,27.6 (13.6-41.7),5/18,5/16,1/5,27.6 (13.6-41.7),5/18,5/16,1/5,27.6 (13.6-41.7),0/18,0/16,0/5,4.4,5.4,5.4,3/18,0/16,0/5,1/18,1/16,1/5,2,0,0,2/2,,,4.0,,,0,0,0,,,,,,
ARIZONA CENTER FOR FERTILITY STUDIES,SCOTTSDALE,ARIZONA,YES,YES,YES,25%,8%,78%,14%,0%,34%,13%,0%,19%,19%,15%,   81,   75,   30,50.6,33.3,3.3,35.9 (29.5-42.3),42.0,22.7,0.0,27.5 (21.5-33.5),42.5,25.0,0.0,28.6 (22.3-34.8),46.6,25.8,0/19,30.7 (24.2-37.2),1.2,9.3,30.0,5.4,6.0,5.6,17.8,13.6,0/19,5.5,0.0,0/19,0,2,0,,0/2,,,6.5,,2,2,13,1/2,0/2,3/13,6.0,6.0,6.3
REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,TUCSON,ARIZONA,YES,YES,NO,0%,67%,33%,0%,18%,28%,31%,1%,15%,20%,5%,   78,   46,   22,19.2,15.2,4.6,15.1 (9.4-20.9),16.7,10.9,0.0,11.6 (6.6-16.6),16.7,10.9,0.0,11.6 (6.6-16.6),17.8,12.5,0/17,12.7 (7.2-18.2),0.0,0.0,0.0,4.8,4.9,3.2,5.5,2.5,0/17,1.4,0.0,0/17,24,4,5,4.2,0/4,0/5,3.7,3.3,2.8,4,5,12,2/4,1/5,5/12,4.5,6.2,5.0
INTRA VAGINAL CULTURE FERTILIZATION PROGRAM,LITTLE ROCK,ARKANSAS,YES,NO,NO,0%,100%,0%,0%,0%,43%,0%,27%,13%,0%,17%,   19,    7,    4,4/19,0/7,0/4,,4/19,0/7,0/4,,4/17,0/6,0/3,,4/11,0/4,0/3,,2/19,1/7,1/4,1.8,2.5,1.7,1/11,0/4,0/3,0/11,0/4,0/3,0,0,0,,,,,,,0,0,0,,,,,,
