ClinName,ClinCityCode,ClinStateCode,SART,Single,Gest,Donor,Share,IVF_Rate,GIFT_Rate,ZIFT,ICSI,Unstim,Tubal,Endo,Uterin,Ovulat,Male,Other,Unkno,FrCy30,FrCy35,FrCy40,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvRt30,FrLvRt35,FrLvRt40,FrLvTx30,FrLvTx35,FrLvTx40,FrCnCy30,FrCnCy35,FrCnCy40,FrEmTr30,FrEmTr35,FrEmTr40,FrMgPg30,FrMgPg35,FrMgPg40,FrMbLv30,FrMbLv35,FrMbLv40,CrTr30,CrTr35,CrTr40,CrLvTr30,CrLvTr35,CrLvTr40,CrEmTr30,CrEmTr35,CrEmTr40,FdTr30,FdTr35,FdTr40,FdLvTr30,FdLvTr35,FdLvTr40,CdTr30,CdTr35,CdTr40,CdLvTr30,CdLvTr35,CdLvTr40,FdCdEms30,FdCdEms35,FdCdEms40
CENTER FOR REPRODUCTIVE MEDICINE,MOBILE,ALABAMA,Yes,Yes,No,Yes,No,100%,0%,0%,22%,0%,18%,28%,0%,27%,18%,9%,0%,5,3,1,2/5,2/3,0/1,2/5,2/3,0/1,,,,2/4,2/3,0/1,2/3,2/3,0/1,1/5,0/3,0/1,3.3,2.7,3.0,0/2,1/2,,0/2,1/2,,0,0,0,,,,,,,1,0,0,1/1,,,0,0,0,,,,4.0,,
UNIVERSITY OF SOUTH ALABAMA,MOBILE,ALABAMA,Yes,No,No,Yes,No,96%,<1%,3%,36%,0%,57%,15%,0%,8%,17%,0%,3%,21,17,1,33.3,3/17,0/1,23.8,1/17,0/1,(5.6 - 42.0),,,23.8,1/16,0/1,23.8,1/15,0/1,0.0,1/17,0/1,5.6,4.6,1.0,2/7,1/3,,1/5,0/1,,0,0,0,,,,,,,0,0,1,,,0/1,0,0,0,,,,,,6.0
UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,ALABAMA,Yes,Yes,No,Yes,No,65%,35%,0%,13%,0%,36%,16%,0%,24%,15%,0%,9%,82,49,20,37.8,34.7,35.0,35.4,26.5,15.0,(25.0 - 45.7),(14.2 - 38.9),(0.0 - 30.6),37.2,32.5,3/17,38.2,34.2,3/17,4.9,18.4,15.0,4.9,6.3,7.8,38.7,6/17,2/7,37.9,4/13,2/3,3,0,0,0/3,,,1.7,,,0,1,0,,0/1,,0,0,0,,,,,6.0,
"HONEA, HOUSERMAN & LONG, P.C.",BIRMINGHAM,ALABAMA,Yes,No,No,Yes,No,93%,6%,1%,20%,0%,29%,22%,1%,20%,21%,7%,0%,117,70,12,23.9,17.1,1/12,20.5,12.9,1/12,(13.2 - 27.8),(5.0 - 20.7),,25.8,16.7,1/6,27.3,17.3,1/5,20.5,22.9,6/12,3.3,3.4,3.2,46.4,4/12,1/1,37.5,3/9,0/1,11,5,0,3/11,1/5,,3.1,3.0,,1,1,1,0/1,0/1,0/1,0,1,1,,0/1,0/1,3.0,5.0,3.5
"ARIZONA INSTITUTE OF REPRODUCTIVE MEDICINE, LTD.",PHOENIX,ARIZONA,Yes,Yes,Yes,Yes,No,100%,0%,0%,43%,3%,35%,12%,4%,7%,15%,27%,0%,28,16,17,35.7,2/16,2/17,32.1,2/16,0/17,(14.8 - 49.4),,,32.1,2/15,0/15,42.9,2/13,0/10,0.0,1/16,2/17,3.9,3.5,2.4,5/10,1/2,0/2,5/9,1/2,,10,12,4,5/10,3/12,0/4,4.6,3.0,3.5,1,0,5,0/1,,0/5,3,2,5,2/3,1/2,1/5,3.3,4.0,4.1
SAMARITAN INSTITUTE OF REPRODUCTIVE MEDICINE,PHOENIX,ARIZONA,Yes,Yes,No,Yes,No,86%,14%,0%,21%,0%,35%,16%,0%,8%,26%,1%,14%,33,20,3,27.3,15.0,0/3,24.2,5.0,0/3,(9.6 - 38.9),(0.0 - 14.6),,25.0,1/10,0/2,26.7,1/8,0/2,3.0,50.0,1/3,4.1,4.6,5.0,3/9,0/3,,3/8,0/1,,13,4,0,4/13,0/4,,3.0,3.3,,0,1,0,,0/1,,0,4,0,,1/4,,,2.4,
UNIVERSITY OF ARIZONA HEALTH SCIENCES CENTER,TUCSON,ARIZONA,Yes,Yes,Yes,Yes,No,78%,22%,0%,16%,0%,31%,22%,3%,29%,11%,0%,4%,85,61,13,29.4,18.0,0/13,25.9,11.5,0/13,(16.6 - 35.2),(3.5 - 19.5),,27.8,12.3,0/10,27.8,12.5,0/9,7.1,6.6,3/13,5.3,5.2,4.3,48.0,5/11,,45.5,4/7,,31,17,3,19.4,1/17,0/3,4.3,3.3,4.0,1,0,2,0/1,,1/2,2,8,6,0/2,3/8,0/6,7.7,5.0,5.3
FERTILITY TREATMENT CENTER,CHANDLER,ARIZONA,Yes,Yes,No,Yes,No,99%,1%,0%,4%,0%,39%,21%,2%,27%,10%,0%,1%,35,29,18,20.0,6.9,3/18,17.1,6.9,2/18,(4.7 - 29.6),(0.0 - 16.1),,19.4,7.1,2/11,19.4,7.7,2/11,11.4,3.4,7/18,4.5,4.3,3.7,1/7,1/2,0/3,0/6,1/2,0/2,19,13,3,1/19,4/13,0/3,4.2,3.8,4.3,1,3,2,1/1,2/3,1/2,1,0,0,1/1,,,4.0,5.0,5.0
ARIZONA CENTER FOR FERTILITY STUDIES,SCOTTSDALE,ARIZONA,Yes,Yes,No,Yes,Yes,6%,61%,33%,5%,0%,35%,16%,0%,2%,15%,16%,16%,99,68,49,38.4,30.9,20.4,32.3,25.0,12.2,(23.1 - 41.5),(14.7 - 35.3),(3.1 - 21.4),33.0,26.2,14.0,39.0,30.9,16.2,2.0,4.4,12.2,5.1,5.2,4.3,52.6,9.5,3/10,53.1,2/17,2/6,1,0,0,0/1,,,3.0,,,2,5,18,1/2,0/5,4/18,0,0,0,,,,7.0,6.8,5.3
SOUTHWEST FERTILITY CENTER,PHOENIX,ARIZONA,Yes,No,No,Yes,No,100%,0%,0%,10%,0%,34%,29%,0%,8%,16%,10%,3%,30,21,10,30.0,14.3,2/10,26.7,14.3,1/10,(10.8 - 42.5),(0.0 - 29.3),,26.7,14.3,1/10,32.0,14.3,1/10,0.0,0.0,0/10,4.7,5.1,4.8,2/9,0/3,0/2,1/8,0/3,0/1,7,3,1,2/7,0/3,0/1,4.7,4.0,7.0,1,1,3,1/1,1/1,2/3,0,0,0,,,,5.0,6.0,5.3
