PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,SART,Single,Gest,Donor,Share,IVF_Rate,GIFT_Rate,ZIFT,Combos,ICSI,Unstim,Tubal,Endo,Uterin,Ovulat,Male,Other,Unkno,FrCy30,FrCy35,FrCy40,FrCy45,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr45PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,Fr45LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvCr45,FrLvRt30,FrLvRt35,FrLvRt40,FrLvRt45,FrLvTx30,FrLvTx35,FrLvTx40,FrLvTx45,FrCnCy30,FrCnCy35,FrCnCy40,FrCnCy45,FrEmTr30,FrEmTr35,FrEmTr40,FrEmTr45,FrTwGst30,FrTwGst35,FrTwGst40,FrTwGst45,FrTpGst30,FrTpGst35,FrTpGst40,FrTpGst45,FrMbLv30,FrMbLv35,FrMbLv40,FrMbLv45,CrTr30,CrTr35,CrTr40,CrTr45,CrLvTr30,CrLvTr35,CrLvTr40,CrLvTr45,CrEmTr30,CrEmTr35,CrEmTr40,CrEmTr45,FdTr30,FdTr35,FdTr40,FdTr45,FdLvTr30,FdLvTr35,FdLvTr40,FdLvTr45,CdTr30,CdTr35,CdTr40,CdTr45,CdLvTr30,CdLvTr35,CdLvTr40,CdLvTr45,FdCdEmTr30,FdCdEmTr35,FdCdEmTr40,FdCdEmTr45
OLYMPIA WOMEN'S HEALTH,OLYMPIA,OLYMPIA,WASHINGTON,Yes,Yes,No,Yes,Yes,100%,0%,0%,0%,0%,0%,63%,3%,0%,17%,0%,17%,0%,9,14,1,2,2/9,4/14,0/1,1/2,1/9,2/14,0/1,1/2,,,,,1/9,2/14,0/1,1/2,1/9,2/14,0/1,1/2,0/9,0/14,0/1,0/2,4.4,4.6,5.0,6.0,1/2,1/4,,1/1,0/2,0/4,,0/1,1/1,1/2,,1/1,1,1,0,1,0/1,0/1,,0/1,4.0,4.0,,3.0,0,0,0,1,,,,0/1,0,0,0,0,,,,,,,,5.0
ADVANCED INSTITUTE OF FERTILITY,MILWAUKEE,MILWAUKEE,WISCONSIN,Yes,Yes,Yes,Yes,Yes,83%,16%,<1%,1%,43%,0%,26%,18%,1%,26%,19%,9%,1%,99,44,30,13,37.4,29.5,20.0,3/13,29.3,25.0,20.0,3/13,(20.3 - 38.3),(12.2 - 37.8),(5.7 - 34.3),,30.5,26.2,22.2,3/11,31.5,28.2,26.1,3/11,4.0,4.5,10.0,2/13,3.9,3.7,4.4,7.6,27.0,5/13,2/6,0/3,5.4,1/13,0/6,1/3,31.0,4/11,2/6,1/3,53,30,16,9,15.1,23.3,4/16,1/9,3.4,3.0,2.6,3.0,3,2,5,6,1/3,0/2,3/5,2/6,4,4,3,14,0/4,1/4,1/3,4/14,2.7,3.5,3.5,3.5
"MEDICAL COLLEGE OF WISCONSIN, DEPARTMENT OF OB/GYN",MILWAUKEE,MILWAUKEE,WISCONSIN,Yes,Yes,No,No,No,100%,0%,0%,0%,37%,0%,19%,20%,0%,28%,21%,1%,11%,24,14,8,3,25.0,4/14,3/8,0/3,20.8,3/14,3/8,0/3,(4.6 - 37.1),,,,20.8,3/13,3/8,0/3,22.7,3/12,3/7,0/3,0.0,1/14,0/8,0/3,2.9,3.6,3.6,4.7,1/6,1/4,1/3,,0/6,0/4,0/3,,1/5,1/3,1/3,,18,3,4,1,2/18,0/3,1/4,0/1,3.2,3.3,2.8,5.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
"WOMEN'S CLINIC, LTD.",WEST READING,WEST READING,PENNSYLVANIA,Yes,No,No,No,No,100%,0%,0%,0%,22%,0%,40%,16%,0%,29%,3%,11%,1%,41,16,8,8,24.4,5/16,2/8,1/8,22.0,4/16,2/8,0/8,(9.3 - 34.6),,,,28.1,4/15,2/6,0/4,31.0,4/14,2/5,0/4,22.0,1/16,2/8,4/8,4.0,4.4,4.2,5.3,4/10,0/5,0/2,0/1,0/10,1/5,0/2,0/1,4/9,1/4,0/2,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
ADVANCED REPRODUCTIVE TECHNOLOGIES PROGRAM,TAMPA,TAMPA,FLORIDA,Yes,Yes,Yes,Yes,No,72%,14%,1%,13%,26%,0%,30%,7%,<1%,11%,2%,19%,31%,107,62,35,23,32.7,25.8,28.6,8.7,29.0,24.2,28.6,8.7,(20.4 - 37.6),(13.5 - 34.9),(13.6 - 43.5),(0.0 - 20.2),31.6,34.9,33.3,2/17,31.6,35.7,33.3,2/17,8.4,30.6,14.3,26.1,3.5,3.7,3.5,3.9,28.6,6/16,2/10,1/2,37.1,4/16,3/10,0/2,58.1,10/15,4/10,0/2,8,3,3,1,0/8,0/3,0/3,0/1,3.6,3.3,3.3,1.0,3,4,2,15,2/3,1/4,1/2,7/15,0,0,0,0,,,,,3.0,4.0,4.0,3.7
CENTER FOR ADVANCED REPRODUCTIVE TECHNOLOGY,BALTIMORE,BALTIMORE,MARYLAND,Yes,Yes,No,Yes,No,98%,0%,2%,0%,37%,0%,46%,14%,1%,7%,22%,3%,7%,58,17,15,0,36.2,9/17,4/15,,24.1,8/17,4/15,,(13.1 - 35.2),,,,24.6,8/15,4/13,,24.6,8/15,4/13,,1.7,2/17,2/15,,3.6,3.9,3.9,,33.3,3/9,0/4,,14.3,3/9,0/4,,7/14,5/8,0/4,,2,1,0,0,1/2,0/1,,,2.5,2.0,,,1,1,0,7,1/1,0/1,,4/7,0,0,0,3,,,,0/3,3.0,3.0,,3.6
CONCEPTIONS REPRODUCTIVE ASSOCIATES,LITTLETON,LITTLETON,COLORADO,Yes,Yes,Yes,Yes,No,100%,0%,0%,0%,31%,0%,30%,3%,<1%,19%,17%,2%,29%,72,40,44,23,51.4,45.0,25.0,13.0,43.1,30.0,18.2,8.7,(31.6 - 54.5),(15.8 - 44.2),(6.8 - 29.6),(0.0 - 20.2),46.3,32.4,20.5,2/19,46.3,33.3,20.5,2/18,6.9,7.5,11.4,17.4,3.3,4.1,3.9,4.8,37.8,4/18,2/11,1/3,13.5,3/18,0/11,0/3,51.6,4/12,2/8,1/2,15,12,11,3,1/15,0/12,0/11,1/3,3.7,4.3,4.3,3.3,0,1,2,14,,1/1,1/2,5/14,1,0,0,11,0/1,,,2/11,3.0,5.0,3.0,3.5
FERTILITY PROGRAM,LOUISVILLE,LOUISVILLE,KENTUCKY,Yes,Yes,No,Yes,No,>99%,<1%,0%,0%,42%,0%,26%,8%,7%,26%,21%,7%,5%,116,40,25,15,49.1,30.0,28.0,0/15,41.4,27.5,16.0,0/15,(32.4 - 50.3),(13.7 - 41.3),(1.6 - 30.4),,45.3,32.4,4/19,0/10,46.6,33.3,4/18,0/9,8.6,15.0,24.0,5/15,2.6,3.3,3.4,2.9,26.3,4/12,1/7,,5.3,1/12,0/7,,33.3,4/11,1/4,,19,12,3,3,3/19,4/12,1/3,0/3,2.2,2.8,2.0,4.7,2,1,0,5,1/2,0/1,,1/5,0,0,0,2,,,,0/2,3.0,4.0,,3.6
"MCFARLAND CLINIC, P.C.",AMES,AMES,IOWA,Yes,No,No,No,No,96%,3%,0%,1%,44%,1%,31%,15%,0%,30%,10%,<1%,14%,84,22,16,2,36.9,27.3,3/16,0/2,36.9,22.7,3/16,0/2,(26.6 - 47.2),(5.2 - 40.2),,,39.7,25.0,3/14,,41.3,25.0,3/14,,7.1,9.1,2/16,2/2,3.6,3.7,3.0,,35.5,2/6,0/3,,19.4,0/6,1/3,,51.6,1/5,1/3,,22,9,6,4,18.2,2/9,1/6,0/4,3.2,3.0,3.5,3.8,0,0,0,0,,,,,0,0,0,0,,,,,,,,
NORTHWESTERN UNIVERSITY,CHICAGO,CHICAGO,ILLINOIS,Yes,Yes,No,Yes,No,100%,0%,0%,0%,40%,0%,20%,12%,1%,19%,15%,1%,31%,74,44,33,13,41.9,40.9,21.2,0/13,33.8,31.8,18.2,0/13,(23.0 - 44.6),(18.1 - 45.6),(5.0 - 31.3),,35.7,33.3,18.8,0/11,37.3,34.1,20.0,0/10,5.4,4.5,3.0,2/13,4.2,4.6,5.0,4.5,38.7,6/18,1/7,,12.9,3/18,0/7,,52.0,6/14,1/6,,31,14,7,13,19.4,2/14,1/7,0/13,4.2,4.2,5.3,5.5,0,1,1,5,,1/1,0/1,3/5,0,0,0,0,,,,,,5.0,4.0,5.0
