PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT,Combos,ICSI,Unstim,Tubal,Male,Ovulat,Endo,Uterin,Other,Unkno,MDFirst,MDMiddle,Mdlast,MDSuffix,FrCy30,FrCy35,FrCy40,FrCy45,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr45PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,Fr45LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvCr45,FrLvRt30,FrLvRt35,FrLvRt40,FrLvRt45,FrLvTx30,FrLvTx35,FrLvTx40,FrLvTx45,FrCnCy30,FrCnCy35,FrCnCy40,FrCnCy45,FrEmTr30,FrEmTr35,FrEmTr40,FrEmTr45,FrTwGst30,FrTwGst35,FrTwGst40,FrTwGst45,FrTpGst30,FrTpGst35,FrTpGst40,FrTpGst45,FrMbLv30,FrMbLv35,FrMbLv40,FrMbLv45,CrTr30,CrTr35,CrTr40,CrTr45,CrLvTr30,CrLvTr35,CrLvTr40,CrLvTr45,CrEmTr30,CrEmTr35,CrEmTr40,CrEmTr45,FdTr30,FdTr35,FdTr40,FdTr45,FdLvTr30,FdLvTr35,FdLvTr40,FdLvTr45,FdEms30,FdEms35,FdEms40,FdEms45,CdTr30,CdTr35,CdTr40,CdTr45,CdLvTr30,CdLvTr35,CdLvTr40,CdLvTr45,CdEms30,CdEms35,CdEms40,CdEms45,CurrClinName1,CurrClinName2,DonorEgg,DnrEmbryo,Single,Gest,Cryo,SART,Accred
ART PROGRAM OF ALABAMA,,BIRMINGHAM,AL,100%,0%,0%,0%,66%,0%,25%,25%,21%,15%,1%,13%,0%,Kathryn,L.,Honea,", M.D.",161,45,27,5,29.2,26.7,29.6,2/5,22.4,20.0,14.8,1/5,(15.9 - 28.8),(8.3 - 31.7),(1.4 - 28.2),,25.2,23.1,20.0,1/4,25.2,25.0,4/18,1/4,11.2,13.3,25.9,1/5,3.1,3.5,3.7,4.3,48.9,3/12,1/8,0/2,8.5,2/12,1/8,0/2,58.3,4/9,2/4,0/1,17,3,3,1,2/17,1/3,1/3,0/1,2.4,2.7,2.0,1.0,5,1,5,2,1/5,1/1,2/5,1/2,3.0,4.0,3.4,3.0,2,0,0,1,0/2,,,1/1,3.0,,,5.0,ART Program of Alabama,,Yes,Yes,No,Yes,Yes,Yes,Yes
UNIVERSITY OF ALABAMA AT BIRMINGHAM,,BIRMINGHAM,AL,74%,26%,0%,0%,13%,0%,33%,16%,20%,18%,2%,2%,9%,Michael,P.,Steinkampf,", M.D.",98,42,23,13,26.5,28.6,13.0,3/13,24.5,23.8,13.0,0/13,(16.0 - 33.0),(10.9 - 36.7),(0.0 - 26.8),,25.5,27.0,3/18,0/12,25.5,28.6,3/17,0/12,4.1,11.9,21.7,1/13,4.9,5.3,5.2,7.9,23.1,2/12,1/3,2/3,19.2,1/12,0/3,0/3,45.8,3/10,1/3,,2,1,0,2,0/2,0/1,,0/2,1.0,1.0,,1.5,1,1,3,4,1/1,1/1,0/3,0/4,5.0,4.0,5.3,5.8,0,0,0,0,,,,,,,,,University of Alabama at Birmingham,,Yes,No,Yes,Yes,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE MEDICINE,,MOBILE,AL,100%,0%,0%,0%,45%,0%,29%,30%,9%,26%,2%,4%,0%,George,T.,Koulianos,", M.D.",52,15,8,3,48.1,5/15,1/8,0/3,40.4,3/15,1/8,0/3,(27.0 - 53.7),,,,46.7,3/14,1/5,0/2,46.7,3/14,1/5,0/2,13.5,1/15,3/8,1/3,3.3,3.1,3.6,5.5,4.0,2/5,0/1,,28.0,0/5,1/1,,33.3,1/3,1/1,,4,1,0,0,1/4,0/1,,,4.5,2.0,,,1,0,0,4,1/1,,,1/4,4.0,,,2.8,0,0,0,0,,,,,,,,,Center for Reproductive Medicine,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF SOUTH ALABAMA,,MOBILE,AL,100%,0%,0%,0%,89%,0%,38%,14%,17%,23%,3%,3%,2%,Botros,R.M.,Rizk,", M.D.",26,6,11,3,30.8,3/6,1/11,1/3,19.2,3/6,1/11,1/3,(4.1 - 34.4),,,,20.0,3/6,1/11,1/3,20.0,3/6,1/10,1/3,3.8,0/6,0/11,0/3,4.5,4.3,3.1,3.7,0/8,1/3,0/1,0/1,1/8,1/3,0/1,0/1,1/5,2/3,0/1,0/1,5,2,1,0,1/5,0/2,0/1,,3.6,5.5,4.0,,0,1,0,2,,0/1,,0/2,,3.0,,4.5,0,0,0,0,,,,,,,,,University of South Alabama,,Yes,No,No,Yes,Yes,Yes,Yes
INTRAVAGINAL CULTURE FERTILIZATION PROGRAM,,LITTLE ROCK,AR,100%,0%,0%,0%,0%,0%,52%,0%,11%,22%,0%,0%,15%,Francisco,,Batres,", M.D.",15,12,0,0,3/15,4/12,,,3/15,1/12,,,,,,,3/13,1/10,,,3/13,1/10,,,2/15,2/12,,,2.6,2.7,,,0/3,0/4,,,0/3,0/4,,,0/3,0/1,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Intravaginal Culture Fertilization Program,,No,No,No,No,Yes,Yes,Yes
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES IVF,,LITTLE ROCK,AR,100%,0%,0%,0%,23%,<1%,32%,11%,15%,19%,1%,14%,8%,Dean,M.,Moutos,", M.D.",122,33,19,18,35.2,36.4,3/19,2/18,32.0,30.3,3/19,1/18,(23.7 - 40.2),(14.6 - 46.0),,,35.1,35.7,3/14,1/9,36.4,38.5,3/12,1/9,9.0,15.2,5/19,9/18,3.1,3.4,3.1,3.4,25.6,4/12,1/3,0/2,7.0,0/12,0/3,0/2,28.2,3/10,1/3,0/1,44,10,3,5,13.6,1/10,0/3,0/5,3.2,3.3,4.3,2.6,1,0,1,6,0/1,,0/1,0/6,3.0,,3.0,3.7,0,0,0,1,,,,1/1,,,,4.0,University of Arkansas for Medical Sciences IVF,,Yes,Yes,No,Yes,Yes,Yes,Yes
FERTILITY TREATMENT CENTER,,CHANDLER,AZ,100%,0%,0%,0%,28%,0%,30%,22%,29%,15%,<1%,2%,<1%,H. Randall,,Craig,", M.D.",48,21,26,15,18.8,9.5,26.9,4/15,18.8,4.8,23.1,3/15,(7.7 - 29.8),(0.0 - 13.9),(6.9 - 39.3),,21.4,1/13,26.1,3/14,22.0,1/13,26.1,3/13,12.5,38.1,11.5,1/15,3.5,3.8,3.6,4.3,2/9,0/2,1/7,0/4,1/9,0/2,2/7,0/4,3/9,0/1,2/6,0/3,23,14,15,6,8.7,3/14,2/15,0/6,4.0,4.8,3.9,3.8,2,2,4,9,1/2,1/2,3/4,2/9,3.5,3.0,2.8,3.3,2,0,0,7,1/2,,,1/7,5.0,,,3.9,Fertility Treatment Center,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WEST VALLEY FERTILITY CENTER,,GLENDALE,AZ,100%,0%,0%,0%,44%,0%,63%,23%,2%,2%,2%,2%,6%,Vladimir,,Troche,", M.D.",21,11,9,4,33.3,3/11,3/9,0/4,33.3,3/11,2/9,0/4,(13.2 - 53.5),,,,33.3,3/9,2/9,0/4,33.3,3/9,2/9,0/4,0.0,2/11,0/9,0/4,5.2,4.7,5.1,3.3,3/7,2/3,1/3,,1/7,0/3,0/3,,4/7,2/3,0/2,,3,2,0,0,1/3,1/2,,,4.3,6.0,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,West Valley Fertility Center,,Yes,No,Yes,Yes,Yes,No,No
IVF PHOENIX,,PHOENIX,AZ,83%,10%,7%,0%,29%,0%,22%,18%,24%,0%,3%,0%,33%,John,L.,Couvaras,", M.D.",19,11,6,6,6/19,7/11,1/6,1/6,6/19,7/11,0/6,1/6,,,,,6/19,7/11,0/6,1/6,6/17,7/9,0/6,1/6,0/19,0/11,0/6,0/6,2.8,3.3,3.2,5.2,3/6,2/7,0/1,0/1,1/6,0/7,0/1,0/1,4/6,2/7,,0/1,7,1,1,0,2/7,0/1,0/1,,3.6,3.0,2.0,,0,1,0,5,,0/1,,2/5,,5.0,,3.8,0,0,0,2,,,,1/2,,,,4.5,IVF Phoenix,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SAMARITAN INSTITUTE OF REPRODUCTIVE MEDICINE,,PHOENIX,AZ,96%,2%,0%,2%,37%,0%,29%,32%,4%,6%,0%,21%,8%,Drew,,Moffitt,", M.D.",62,24,20,7,38.7,25.0,15.0,1/7,37.1,25.0,15.0,1/7,(25.1 - 49.1),(7.7 - 42.3),(0.0 - 30.6),,42.6,6/18,3/14,1/2,44.2,6/17,3/14,1/2,12.9,25.0,30.0,5/7,3.1,3.4,3.7,2.5,54.2,1/6,0/3,0/1,4.2,1/6,0/3,0/1,52.2,2/6,0/3,0/1,21,8,1,1,23.8,0/8,0/1,0/1,3.0,3.1,3.0,2.0,0,1,4,5,,0/1,2/4,0/5,,3.0,3.0,3.0,0,0,1,2,,,1/1,0/2,,,3.0,2.0,Arizona Reproductive Medicine Specialists,,Yes,No,No,No,Yes,Yes,Pending
