ClinStateCode,State
IVF_Rate,IVF_Rate
PGD_Rate,PGD_Rate
FshNDCycle1, <35
FshNDCycle2, 35-37
FshNDCycle3, 38-40
FshNDCycle4, 41-42
FshNDCycle5, 43-44
FshNDCycle6, >44
FshNDSnglLBRate1, <35
FshNDSnglLBRate2, 35-37
FshNDSnglLBRate3, 38-40
FshNDSnglLBRate4, 41-42
FshNDSnglLBRate5, 43-44
FshNDSnglLBRate6, >44
FshNDTripLBRate1, <35
FshNDTripLBRate2, 35-37
FshNDTripLBRate3, 38-40
FshNDTripLBRate4, 41-42
FshNDTripLBRate5, 43-44
FshNDTripLBRate6, >44
ThwNDTotCycles1, <35
ThwNDTotCycles2, 35-37
ThwNDTotCycles3, 38-40
ThwNDTotCycles4, 41-42
ThwNDTotCycles5, 43-44
ThwNDTotCycles6, >44
ThwNDSnglLB_TransRate1, <35
ThwNDSnglLB_TransRate2, 35-37
ThwNDSnglLB_TransRate3, 38-40
ThwNDSnglLB_TransRate4, 41-42
ThwNDSnglLB_TransRate5, 43-44
ThwNDSnglLB_TransRate6, >44
ThwNDTripLB_TransRate1, <35
ThwNDTripLB_TransRate2, 35-37
ThwNDTripLB_TransRate3, 38-40
ThwNDTripLB_TransRate4, 41-42
ThwNDTripLB_TransRate5, 43-44
ThwNDTripLB_TransRate6, >44
FshDnrTransfers,fresh
ThwDnrTransfers,frozen
FshDnrSnglLB_TransRate,singleton
ThwDnrSnglLB_TransRate,singleton
FshDnrLvBirths_TransRate,Tot Live births
ThwDnrLvBirths_TransRate,Tot Live births
FshNDLvBirthsRate1, <35
FshNDLvBirthsRate2, 35-37
FshNDLvBirthsRate3, 38-40
FshNDLvBirthsRate4, 41-42
ThwNDLvBirthsRate1, <35
ThwNDLvBirthsRate2, 35-37
ThwNDLvBirthsRate3, 38-40
ThwNDLvBirthsRate4, 41-42
FshDnrLvBirthsRate,fresh
ThwDnrLvBirthsRate,frozen
