Variable,Label
OrderID,Alphabetical Order ID
PrevClinName1,First line of reporting year clinic name
PrevClinName2,Second line of reporting year clinic name
ClinCityCode,Reporting year clinic city
ClinStateCode,Reporting year clinic state
IVF_Rate,Percentage of fresh nondonor cycles with IVF performed
ICSI_Rate,Percentage of fresh nondonor cycles with ICSI
Unstimulated_Rate,Percentage of fresh nondonor cycles that were unstimulated
Gest_Rate,Percentage of fresh nondonor cycles that used a gestational carrier
PGD_Rate,Percentage of fresh nondonor cycles with PGD performed
Diag_TubalRate,ART Patient Diagnosis (Tubal factor)
Diag_OvulatoryRate,ART Patient Diagnosis (Ovulatory dysfunction)
Diag_DORRate,ART Patient Diagnosis (Diminished ovarian reserve)
Diag_EndometriosisRate,ART Patient Diagnosis (Endometriosis)
Diag_UterineRate,ART Patient Diagnosis (Uterine factor)
Diag_MaleRate,ART Patient Diagnosis (Male factor)
Diag_OtherRate,ART Patient Diagnosis (Other factor)
Diag_UnknownRate,ART Patient Diagnosis (Unknown factor)
Diag_ComboNoMaleRate,ART Patient Diagnosis (Female factors only)
Diag_ComboMaleRate,ART Patient Diagnosis (Female & male factors)
TotPerformedCycles,Number of cycles reported by clinic (excluding cycles in which new procedures were evaluated)
TotBankingCycles,Number of oocyte/embryo banking cycles reported by clinic
MedicalDirector,Data verified by (Name of Medical Director)
FshNDCycle1,(Fresh Nondonor Eggs) Number of cycles <35
FshNDCycle2,(Fresh Nondonor Eggs) Number of cycles 35-37
FshNDCycle3,(Fresh Nondonor Eggs) Number of cycles 38-40
FshNDCycle4,(Fresh Nondonor Eggs) Number of cycles 41-42
FshNDCycle5,(Fresh Nondonor Eggs) Number of cycles 43-44
FshNDCycle6,(Fresh Nondonor Eggs) Number of cycles >44
FshNDCansRate1,(Fresh Nondonor Eggs) Cancellations per 100 cycles <35
FshNDCansRate2,(Fresh Nondonor Eggs) Cancellations per 100 cycles 35-37
FshNDCansRate3,(Fresh Nondonor Eggs) Cancellations per 100 cycles38-40
FshNDCansRate4,(Fresh Nondonor Eggs) Cancellations per 100 cycles 41-42
FshNDCansRate5,(Fresh Nondonor Eggs) Cancellations per 100 cycles 43-44
FshNDCansRate6,(Fresh Nondonor Eggs) Cancellations per 100 cycles >44
FshNDEmbryosRate1,(Fresh Nondonor Eggs) Average number of embryos transferred <35
FshNDEmbryosRate2,(Fresh Nondonor Eggs) Average number of embryos transferred 35-37
FshNDEmbryosRate3,(Fresh Nondonor Eggs) Average number of embryos transferred 38-40
FshNDEmbryosRate4,(Fresh Nondonor Eggs) Average number of embryos transferred 41-42
FshNDEmbryosRate5,(Fresh Nondonor Eggs) Average number of embryos transferred 43-44
FshNDEmbryosRate6,(Fresh Nondonor Eggs) Average number of embryos transferred >44
FshNDImplant1,(Fresh Nondonor Eggs) Implantation rate per 100 cycles <35
FshNDImplant2,(Fresh Nondonor Eggs) Implantation rate per 100 cycles 35-37
FshNDImplant3,(Fresh Nondonor Eggs) Implantation rate per 100 cycles 38-40
FshNDImplant4,(Fresh Nondonor Eggs) Implantation rate per 100 cycles 41-42
FshNDImplant5,(Fresh Nondonor Eggs) Implantation rate per 100 cycles 43-44
FshNDImplant6,(Fresh Nondonor Eggs) Implantation rate per 100 cycles >44
FshNDeSETRate1,(Fresh Nondonor Eggs) Elective single embryo transfer (eSET) per 100 cycles <35
FshNDeSETRate2,(Fresh Nondonor Eggs) Elective single embryo transfer (eSET) per 100 cycles 35-37
FshNDeSETRate3,(Fresh Nondonor Eggs) Elective single embryo transfer (eSET) per 100 cycles 38-40
FshNDeSETRate4,(Fresh Nondonor Eggs) Elective single embryo transfer (eSET) per 100 cycles 41-42
FshNDeSETRate5,(Fresh Nondonor Eggs) Elective single embryo transfer (eSET) per 100 cycles 43-44
FshNDeSETRate6,(Fresh Nondonor Eggs) Elective single embryo transfer (eSET) per 100 cycles >44
FshNDSnglLBRate1,(Fresh Nondonor Eggs) Singleton live births per 100 cycles <35
FshNDSnglLBRate2,(Fresh Nondonor Eggs) Singleton live births per 100 cycles 35-37
FshNDSnglLBRate3,(Fresh Nondonor Eggs) Singleton live births per 100 cycles 38-40
FshNDSnglLBRate4,(Fresh Nondonor Eggs) Singleton live births per 100 cycles 41-42
FshNDSnglLBRate5,(Fresh Nondonor Eggs) Singleton live births per 100 cycles 43-44
FshNDSnglLBRate6,(Fresh Nondonor Eggs) Singleton live births per 100 cycles >44
FshNDTripLBRate1,(Fresh Nondonor Eggs) Triplets or more live births per 100 cycles <35
FshNDTripLBRate2,(Fresh Nondonor Eggs) Triplets or more live births per 100 cycles 35-37
FshNDTripLBRate3,(Fresh Nondonor Eggs) Triplets or more live births per 100 cycles 38-40
FshNDTripLBRate4,(Fresh Nondonor Eggs) Triplets or more live births per 100 cycles 41-42
FshNDTripLBRate5,(Fresh Nondonor Eggs) Triplets or more live births per 100 cycles 43-44
FshNDTripLBRate6,(Fresh Nondonor Eggs) Triplets or more live births per 100 cycles >44
FshNDLvBirthsRate1,(Fresh Nondonor Eggs) Live births per 100 cycles <35
FshNDLvBirthsRate2,(Fresh Nondonor Eggs) Live births per 100 cycles 35-37
FshNDLvBirthsRate3,(Fresh Nondonor Eggs) Live births per 100 cycles 38-40
FshNDLvBirthsRate4,(Fresh Nondonor Eggs) Live births per 100 cycles 41-42
FshNDLvBirthsRate5,(Fresh Nondonor Eggs) Live births per 100 cycles 43-44
FshNDLvBirthsRate6,(Fresh Nondonor Eggs) Live births per 100 cycles >44
FshNDPregRate1,(Fresh Nondonor Eggs) Pregnancies per 100 cycles <35
FshNDPregRate2,(Fresh Nondonor Eggs) Pregnancies per 100 cycles 35-37
FshNDPregRate3,(Fresh Nondonor Eggs) Pregnancies per 100 cycles 38-40
FshNDPregRate4,(Fresh Nondonor Eggs) Pregnancies per 100 cycles 41-42
FshNDPregRate5,(Fresh Nondonor Eggs) Pregnancies per 100 cycles 43-44
FshNDPregRate6,(Fresh Nondonor Eggs) Pregnancies per 100 cycles >44
FshNDTransfers1,(Fresh Nondonor Eggs) Number of transfers <35
FshNDTransfers2,(Fresh Nondonor Eggs) Number of transfers 35-37
FshNDTransfers3,(Fresh Nondonor Eggs) Number of transfers 38-40
