PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,Medicaldirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinicNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
ART PROGRAM OF ALABAMA,,BIRMINGHAM,ALABAMA,100%,0%,0%,0%,53%,0%,7%,5%,<1%,<1%,0%,5%,0%,0%,25%,57%,"Kathryn L. Honea, M.D.",181,72,24,9,38.7,22.2,29.2,0.111111111,29.8,15.3,12.5,0.111111111,-13.3,-16.6,-25.7,=,33.8,16.9,14.3,0.2,34.6,17.7,15,0.2,11.6,9.7,12.5,0.444444444,2.5,3.1,3.5,2.4,34.3,0.3125,0,0,4.3,0,0,0,40.7,0.272727273,0,0,10,4,3,1,0.1,0.25,0,0,1.7,1.5,1.3,1,25,1,28,0,2.3,1,ART Program of Alabama,Yes,Yes,No,Yes,Yes,Yes,Yes
LOMA LINDA UNIVERSITY CENTER FOR FERTILITY AND IVF,,LOMA  LINDA,CALIFORNIA,100%,0%,0%,0%,79%,0%,17%,0%,<1%,5%,0%,23%,4%,12%,13%,25%,"John D. Jacobson, M.D.",59,21,14,10,54.2,23.8,0.214285714,0.3,52.5,9.5,0.071428571,0.2,-25.5,-22.1,=,=,53.4,0.117647059,0.1,0.2,56.4,0.133333333,0.111111111,0.2,1.7,19,0.285714286,0,3.2,3.3,3.9,4.2,21.9,0.2,0,0,12.5,0.2,0,0.333333333,35.5,0.5,0,0.5,3,3,0,0,0,0.333333333,=,=,2.7,4,=,=,8,3,0.5,0.333333333,2.8,2.3,Loma Linda University Center for Fertility and IVF,Yes,Yes,No,Yes,Yes,Yes,Yes
REPRODUCTIVE PARTNERSÐLONG BEACH,,LONG BEACH,CALIFORNIA,74%,25%,0%,1%,25%,0%,17%,8%,21%,3%,1%,10%,5%,5%,16%,14%,"Bill Yee, M.D.",76,32,64,32,38.2,34.4,39.1,21.9,31.6,25,31.3,15.6,-20.9,-30,-22.7,-25.2,32.4,29.6,39.2,20.8,34.3,29.6,40,21.7,2.6,15.6,20.3,25,3,3.6,4.1,4.5,48.3,0.272727273,28,0.142857143,10.3,0,4,0,58.3,0.375,30,0.2,30,16,13,5,13.3,0.25,0.153846154,0,3.3,3.1,3.2,3.8,21,10,42.9,0,3,3.7,Reproductive PartnersÐLong Beach,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"UNIVERSITY OF CALIFORNIA, LOS ANGELES",FERTILITY CENTER,LOS ANGELES,CALIFORNIA,98%,<1%,0%,<1%,9%,0%,9%,3%,31%,0%,1%,11%,9%,11%,15%,10%,"Joseph C. Gambone, D.O.",37,13,29,25,21.6,0.230769231,10.3,12,16.2,0.230769231,10.3,4,-23.8,=,-21.4,-11.7,17.1,0.272727273,13.6,5,20,0.272727273,0.157894737,0.076923077,5.4,0.153846154,24.1,20,3.7,3.8,3.5,2.4,0.5,0.333333333,0.333333333,0.333333333,0,0,0.333333333,0,0.5,0,0.666666667,1,10,1,1,0,0.1,0,0,=,3.5,5,2,=,4,2,0.75,0.5,4.3,4,"University of California, Los Angeles, Fertility Center",Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF SOUTHERN CALIFORNIA,REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,LOS ANGELES,CALIFORNIA,97%,1%,1%,1%,22%,1%,3%,0%,23%,2%,4%,5%,24%,23%,8%,8%,"Richard J. Paulson, M.D.",18,24,21,14,0.333333333,33.3,42.9,0.214285714,0.333333333,12.5,38.1,0.142857143,=,-25.7,-41.6,=,0.333333333,15,0.444444444,0.166666667,0.352941176,15,0.444444444,0.166666667,0,16.7,14.3,0.142857143,2.5,4.1,4.3,5.3,0.166666667,0.125,0.333333333,0,0.333333333,0,0.222222222,0,0.333333333,0,0.5,0,5,5,4,0,0,0.2,0.75,=,3,3.2,2.5,=,46,22,58.7,22.7,2.5,3,"University of Southern California, Reproductive Endocrinology and Infertility",Yes,Yes,Yes,Yes,Yes,Yes,Pending
"BRIAN SU, M.D.",,MONTEREY PARK,CALIFORNIA,100%,0%,0%,0%,25%,0%,17%,7%,10%,10%,2%,15%,2%,2%,20%,15%,"Brian C. Su, M.D.",22,4,7,1,40.9,0.5,0.428571429,0,31.8,0.25,0.285714286,0,-38.9,=,=,=,0.368421053,0.25,0.285714286,0,0.388888889,0.25,0.285714286,0,13.6,0,0,0,2.9,3.5,4.1,6,0.444444444,0,0,=,0,0,0,=,0.571428571,0,0,=,2,0,0,0,0,=,=,=,4,=,=,=,1,1,1,0,3,1,Garfield Fertility Center,Yes,Yes,No,Yes,Yes,Yes,Yes
REPRODUCTIVE SPECIALTY MEDICAL CENTER,,NEWPORT BEACH,CALIFORNIA,95%,5%,0%,0%,36%,0%,8%,8%,29%,3%,0%,9%,11%,0%,9%,23%,"Beth A. Ary, M.D.",16,13,10,3,0.4375,0.461538462,0.2,0,0.25,0.307692308,0.1,0,=,=,=,=,0.25,0.333333333,0.1,0,0.266666667,0.333333333,0.1,0,0,0.076923077,0,0.333333333,4.1,3.6,4.5,3,0.428571429,0,0,=,0.285714286,0.333333333,0,=,0.75,0.25,0,=,0,1,0,0,=,0,=,=,=,6,=,=,17,2,0.352941176,0.5,3.9,4.5,Reproductive Specialty Medical Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NORTHRIDGE CENTER FOR REPRODUCTIVE MEDICINE,,NORTHRIDGE,CALIFORNIA,97%,0%,0%,3%,71%,0%,10%,4%,6%,4%,1%,17%,2%,14%,10%,32%,"Jirair B. Konialian, M.D.",58,35,11,1,32.8,28.6,0.181818182,1,29.3,22.9,0.090909091,1,-23.4,-27.9,=,=,37,27.6,0.1,1,44.7,32,0.166666667,1,20.7,17.1,0.090909091,0,4.6,4.6,5.2,8,0.473684211,0.3,0.5,1,0.157894737,0.1,0,0,0.647058824,0.25,1,1,0,0,0,0,=,=,=,=,=,=,=,=,19,1,0.421052632,0,4.5,5,Northridge Center for Reproductive Medicine,Yes,No,Yes,Yes,Yes,No,No
IVFÐORANGE,,ORANGE,CALIFORNIA,100%,0%,0%,0%,37%,0%,15%,0%,0%,20%,0%,15%,5%,20%,10%,15%,"Darush Mohyi, M.D.",10,4,4,0,0.2,0.25,0.25,=,0.2,0.25,0,=,=,=,=,=,0.2,0.25,0,=,0.2,0.25,0,=,0,0,0,=,3.7,3.5,3.8,=,0,0,0,=,0,0,0,=,0,0,=,=,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,IVFÐOrange Surgery Center,Yes,Yes,Yes,No,Yes,No,No
"SUSAN P. WILLMAN, M.D.",,ORINDA,CALIFORNIA,100%,0%,0%,0%,32%,0%,13%,4%,17%,6%,1%,7%,7%,8%,16%,21%,"Susan P. Willman, M.D.",12,15,21,12,0.5,0.4,9.5,0.166666667,0.416666667,0.266666667,4.8,0.166666667,=,=,-13.9,=,0.416666667,0.266666667,0.052631579,0.2,0.416666667,0.266666667,0.055555556,0.2,0,0,9.5,0.166666667,3.1,3.6,3.8,4.2,0,0,0,0,0.166666667,0,0,0,0.2,0,0,0,5,3,0,1,0,0,=,0,3.4,3.3,=,8,13,3,0.538461538,0,3.2,4,"Susan P. Willman, M.D.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
