PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
ART PROGRAM OF ALABAMA,,BIRMINGHAM,ALABAMA,100%,0%,0%,0%,60%,0%,6%,3%,2%,<1%,0%,6%,<1%,<1%,29%,52%,"Kathryn L. Honea, M.D.",159,46,24,6,32.1,32.6,29.2,0.166666667,28.3,23.9,20.8,0.166666667,-14,-24.6,-32.5,=,33.1,26.2,0.294117647,0.25,34.4,26.2,0.294117647,0.25,14.5,8.7,29.2,0.333333333,3,3.6,3.5,3.8,25.5,0.266666667,0.428571429,1,9.8,0.2,0,0,37.8,0.636363636,0.4,0,19,5,1,0,0.315789474,0.4,0,=,2.9,3,4,=,29,6,31,0,3,2.8,ART Program of Alabama,Yes,Yes,No,Yes,Yes,Yes,Yes
UNIVERSITY OF ALABAMA AT BIRMINGHAM,,BIRMINGHAM,ALABAMA,80%,20%,0%,0%,23%,<1%,24%,11%,8%,6%,0%,12%,<1%,3%,24%,11%,"Michael P. Steinkampf, M.D.",78,32,16,5,23.1,15.6,0.0625,0.2,17.9,15.6,0.0625,0,-17.1,-25.2,=,=,20.6,18.5,0.071428571,0,21.2,19.2,0.071428571,0,12.8,15.6,0.125,0.2,4.4,4.3,4.1,7.3,0.222222222,0.4,0,0,0.111111111,0,1,0,0.357142857,0.4,1,=,3,1,0,1,0,0,=,0,0.7,3,=,1,5,0,0.4,=,4.6,=,University of Alabama at Birmingham,Yes,No,Yes,Yes,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE MEDICINE,,MOBILE,ALABAMA,100%,0%,0%,0%,56%,<1%,5%,7%,<1%,12%,<1%,5%,10%,0%,39%,20%,"George T. Koulianos, M.D.",67,23,22,5,43.3,39.1,27.3,0.4,37.3,39.1,9.1,0,-23.2,-39.9,-21.1,=,39.7,45,0.111111111,0,40.3,0.473684211,0.111111111,0,6,13,18.2,0.4,2.8,3.7,3.9,3.7,17.2,0.333333333,0.166666667,0,13.8,0.333333333,0.166666667,0,36,0.666666667,0.5,=,3,0,0,0,0,=,=,=,3.3,=,=,=,2,2,0.5,0,3,3,Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF SOUTH ALABAMA IVF AND ART PROGRAM,,MOBILE,ALABAMA,100%,0%,0%,0%,100%,0%,22%,3%,0%,18%,0%,15%,0%,0%,21%,21%,"Botros Rizk, M.D.",10,11,6,0,0.4,0.181818182,0.666666667,=,0.4,0,0.666666667,=,=,=,=,=,0.4,0,0.666666667,=,0.4,0,0.666666667,=,0,0,0,=,3.5,4.1,3.3,=,0,0,0.25,=,0,0,0,=,0,=,0.25,=,1,3,0,0,0,0,=,=,5,3.7,=,=,0,0,=,=,=,=,University of South Alabama IVF and ART Program,Yes,No,No,Yes,Yes,Yes,Yes
FERTILITY TREATMENT CENTER,,CHANDLER,ARIZONA,100%,0%,0%,0%,54%,0%,16%,3%,15%,4%,1%,9%,2%,4%,27%,19%,"H. Randall Craig, M.D.",61,32,25,18,45.9,31.3,20,0.222222222,36.1,28.1,12,0.055555556,-24.1,-31.2,-24.7,=,41.5,32.1,13.6,0.066666667,43.1,34.6,13.6,0.083333333,13.1,12.5,12,0.166666667,2.4,2.7,2.8,2.6,35.7,0.3,0.4,0,3.6,0.1,0,0,45.5,0.444444444,0.333333333,0,22,13,6,4,36.4,0.307692308,0.5,0,2.9,2.8,3.2,3,24,19,45.8,0.368421053,2.8,2.6,Fertility Treatment Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WEST VALLEY FERTILITY CENTER,,GLENDALE,ARIZONA,100%,0%,0%,0%,57%,0%,26%,3%,9%,0%,0%,9%,11%,11%,14%,17%,"Vladimir Troche, M.D.",31,18,12,6,54.8,0.5,0.25,0.166666667,54.8,0.388888889,0.166666667,0.166666667,-35.1,=,=,=,54.8,0.388888889,0.166666667,0.2,65.4,0.388888889,0.166666667,0.25,0,0,0,0.166666667,3.5,3.4,4,4.5,0.294117647,0.333333333,0,0,0.176470588,0,0,1,0.470588235,0.285714286,0,1,9,0,2,0,0.222222222,=,0,=,3.3,=,5,=,5,4,0.4,0,2.6,3.5,West Valley Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,No
ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS,,PHOENIX,ARIZONA,100%,0%,0%,0%,57%,1%,9%,<1%,10%,1%,0%,12%,2%,7%,22%,36%,"Drew Moffitt, M.D.",99,46,29,2,32.3,26.1,13.8,0,31.3,21.7,13.8,0,-18.2,-23.9,-25.1,=,34.8,29.4,20,0,37.8,30.3,0.210526316,0,10.1,26.1,31,0,2.6,3,3.2,3,37.5,0.25,0.25,=,9.4,0.166666667,0.25,=,41.9,0.4,0.5,=,38,18,4,2,15.8,0.111111111,0.25,0,2.6,2.7,2.5,4,18,13,0.222222222,0.230769231,2.3,2.7,Arizona Reproductive Medicine Specialists,Yes,No,No,No,Yes,Yes,Pending
SOUTHWEST FERTILITY CENTER,,PHOENIX,ARIZONA,100%,0%,0%,0%,26%,0%,8%,12%,0%,15%,0%,19%,0%,0%,27%,19%,"Sujatha Gunnala, M.D.",15,4,4,0,0.666666667,0.5,0.75,=,0.666666667,0.5,0.75,=,=,=,=,=,0.714285714,0.5,1,=,0.714285714,0.5,1,=,0.066666667,0,0.25,=,2.9,3,3.3,=,0.2,0,0.333333333,=,0,0,0,=,0.1,0,0.333333333,=,0,1,0,0,=,1,=,=,=,3,=,=,1,0,0,=,4,=,Southwest Fertility Center,Yes,Yes,Yes,No,Yes,Yes,Yes
ARIZONA CENTER FOR FERTILITY STUDIES,,SCOTTSDALE,ARIZONA,6%,50%,43%,1%,26%,0%,30%,0%,10%,4%,0%,7%,11%,15%,15%,8%,"Jay S. Nemiro, M.D.",94,50,54,19,36.2,34,20.4,0.105263158,26.6,16,13,0.105263158,-17.8,-20.4,-17.9,=,27.8,16.3,15.2,0.111111111,34.7,22.2,18.9,0.222222222,4.3,2,14.8,0.052631579,5,5.2,5,4.6,26.5,0.176470588,0.090909091,0,11.8,0.176470588,0.090909091,0,44,0.625,0.285714286,0,1,1,1,0,1,0,0,=,6,5,0,=,37,6,40.5,0.166666667,5.5,2.3,Arizona Center for Fertility Studies,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MAYO CLINIC SCOTTSDALE,,SCOTTSDALE,ARIZONA,100%,0%,0%,0%,68%,0%,16%,4%,13%,2%,0%,25%,2%,8%,10%,20%,"Anita P. Singh, M.D.",32,21,11,9,40.6,47.6,0.454545455,0.222222222,34.4,38.1,0.272727273,0,-32.9,-41.6,=,=,35.5,0.444444444,0.3,0,40.7,0.444444444,0.333333333,0,3.1,14.3,0.090909091,0.111111111,2.9,2.9,3,3.4,0.230769231,0.2,0.2,0.5,0.076923077,0,0,0,0.363636364,0.25,0.333333333,=,18,4,2,2,0.5,0.5,0,1,3.1,2.5,3.5,4.5,15,6,0.533333333,0.5,2.5,3,Mayo Clinic Scottsdale,Yes,No,Yes,No,Yes,Yes,Yes
