PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
ART PROGRAM OF ALABAMA,,BIRMINGHAM,ALABAMA,100%,0%,0%,0%,69%,0%,0%,6%,6%,1%,1%,0%,7%,0%,<1%,27%,52%,"Kathryn L. Honea, M.D.",131,35,22,2,43.5,34.3,27.3,0,35.1,25.7,27.3,0,-16.4,-29,-37.2,=,39.3,27.3,0.315789474,0,40,27.3,0.315789474,0,19.1,18.2,0.157894737,0,10.7,5.7,13.6,0.5,3.1,3.6,4,3,26.3,0.25,0.5,=,22.8,0.166666667,0,=,52.2,0.333333333,0.5,=,15,3,6,0,0.266666667,0,0,=,2.2,1.7,2.7,=,33,6,45.5,0,3.1,2.2,ART Program of Alabama,Yes,Yes,No,Yes,Yes,Yes,Yes
UNIVERSITY OF ALABAMA AT BIRMINGHAM,,BIRMINGHAM,ALABAMA,92%,8%,0%,0%,23%,0%,3%,33%,7%,5%,5%,0%,10%,<1%,2%,23%,14%,"Michael P. Steinkampf, M.D.",60,30,6,5,41.7,30,0.166666667,0.2,41.7,26.7,0.166666667,0,-24.9,-31.7,=,=,43.9,27.6,0.166666667,0,43.9,27.6,0.166666667,0,29.8,17.2,0.166666667,0,5,3.3,0,0,3.6,3.7,3.8,8.6,28,0.222222222,0,0,12,0.111111111,0,0,32,0.375,0,=,4,2,0,0,0,0,=,=,1.5,2.5,=,=,9,4,0.333333333,0,3.6,1.5,University of Alabama at Birmingham,Yes,No,Yes,Yes,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE MEDICINE,,MOBILE,ALABAMA,100%,0%,0%,0%,60%,0%,<1%,4%,6%,2%,11%,0%,4%,16%,<1%,22%,34%,"George T. Koulianos, M.D.",71,29,20,10,42.3,31,15,0.1,35.2,24.1,5,0.1,-22.2,-31.1,-14.6,=,39.1,29.2,5,0.166666667,39.1,29.2,0.052631579,0.2,29.7,20.8,0,0.2,9.9,17.2,0,0.4,3,3.9,4.2,4.4,20,0.222222222,0.333333333,0,0,0.111111111,0,0,24,0.285714286,1,0,4,0,1,0,0,=,0,=,3,=,2,=,7,0,0.571428571,=,3.1,=,Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF SOUTH ALABAMA IVF AND ART PROGRAM,,MOBILE,ALABAMA,100%,0%,0%,0%,67%,0%,0%,13%,0%,3%,3%,0%,6%,10%,0%,56%,9%,"Botros R.M. Rizk, M.D.",17,9,3,1,0.411764706,0.222222222,0,0,0.411764706,0.222222222,0,0,=,=,=,=,0.411764706,0.25,0,0,0.411764706,0.285714286,0,0,0.411764706,0,0,0,0,0.111111111,0,0,3.3,2.9,2.7,2,0,0,=,=,0,1,=,=,0,1,=,=,1,0,0,0,0,=,=,=,4,=,=,=,1,0,0,=,3,=,University of South Alabama IVF and ART Program,Yes,No,No,Yes,Yes,Yes,Yes
FERTILITY TREATMENT CENTER,,CHANDLER,ARIZONA,100%,0%,0%,0%,56%,0%,0%,12%,7%,17%,4%,<1%,6%,2%,4%,28%,19%,"H. Randall Craig, M.D.",81,34,47,24,49.4,41.2,36.2,12.5,46.9,38.2,29.8,8.3,-21.8,-32.7,-26.2,-19.4,56.7,50,36.8,10,62.3,56.5,40,0.133333333,32.8,43.5,34.3,0.133333333,17.3,23.5,19.1,16.7,2.3,2.2,2.4,2.4,45,0.285714286,0.352941176,0,2.5,0,0,0,47.4,0.230769231,0.142857143,0,26,8,11,5,30.8,0.125,0.363636364,0,2.3,3.1,2.8,3.4,33,26,39.4,38.5,2.1,2.6,Fertility Treatment Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WEST VALLEY FERTILITY CENTER,,GLENDALE,ARIZONA,100%,0%,0%,0%,48%,0%,2%,22%,5%,10%,1%,0%,11%,2%,9%,18%,22%,"Vladimir Troche, M.D.",52,24,7,1,55.8,37.5,0.142857143,0,50,25,0.142857143,0,-27.2,-34.6,=,=,52,28.6,0.142857143,0,53.1,0.333333333,0.166666667,0,36.7,0.277777778,0.166666667,0,3.8,12.5,0,0,3,3.3,2.7,1,27.6,0,0,=,6.9,0.111111111,0,=,30.8,0.166666667,0,=,10,3,2,0,0.3,0,0,=,3,2.3,2.5,=,19,11,0.473684211,0.181818182,3.1,3.5,West Valley Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS,,PHOENIX,ARIZONA,100%,0%,0%,0%,50%,0%,0%,16%,6%,7%,4%,0%,14%,2%,6%,18%,27%,"Drew Moffitt, M.D.",98,48,23,5,40.8,33.3,21.7,0,34.7,29.2,17.4,0,-18.8,-25.7,-31,=,38.6,32.6,0.25,0,40,35,0.25,0,25.9,25,0.25,0,10.2,10.4,30.4,0.4,2.9,3.3,3.6,3.3,25,0.25,0,=,17.5,0.125,0,=,35.3,0.285714286,0,=,46,19,4,2,19.6,0.315789474,0.25,0,2.8,3.1,3.5,3,9,14,0.444444444,0.142857143,2.8,2.8,Arizona Reproductive Medicine Specialists,Yes,No,No,No,Yes,Yes,Yes
SOUTHWEST FERTILITY CENTER,,PHOENIX,ARIZONA,100%,0%,0%,0%,28%,0%,0%,20%,4%,0%,20%,0%,20%,0%,0%,8%,28%,"Sujatha Gunnala, M.D.",8,5,6,4,0.5,0.2,0.333333333,0.5,0.5,0.2,0.333333333,0.5,=,=,=,=,0.5,0.333333333,0.333333333,0.5,0.571428571,0.333333333,0.333333333,0.666666667,0.571428571,0.333333333,0.333333333,0.666666667,0,0.4,0,0,2.4,2,1.8,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,Southwest Fertility Center,Yes,Yes,Yes,No,Yes,Yes,Yes
ARIZONA CENTER FOR FERTILITY STUDIES,,SCOTTSDALE,ARIZONA,5%,34%,61%,0%,14%,0%,0%,3%,<1%,9%,5%,<1%,15%,32%,13%,15%,6%,"Jay S. Nemiro, M.D.",92,44,49,22,34.8,31.8,20.4,13.6,27.2,22.7,14.3,9.1,-18.2,-24.8,-19.6,-21.1,28.1,25.6,15.9,0.105263158,31.6,29.4,17.5,0.153846154,17.7,23.5,15,0.153846154,3.3,11.4,10.2,13.6,4.2,4.7,4.5,3.9,15.6,0.214285714,0.1,0,28.1,0,0,0,44,0.2,0.142857143,0,3,0,1,0,0.333333333,=,0,=,4,=,5,=,31,7,54.8,0.428571429,4.7,4,Arizona Center for Fertility Studies,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MAYO CLINIC SCOTTSDALE,,SCOTTSDALE,ARIZONA,100%,0%,0%,0%,70%,0%,0%,12%,3%,13%,2%,0%,34%,1%,10%,6%,19%,"Anita P. Singh, M.D.",60,24,15,8,48.3,41.7,0.533333333,0.375,43.3,37.5,0.533333333,0.375,-25.1,-38.8,=,=,46.4,42.9,0.571428571,0.5,61.9,0.473684211,0.727272727,0.5,45.2,0.368421053,0.272727273,0.5,6.7,12.5,0.066666667,0.25,2.4,3,3.5,3.5,24.1,0.1,0.625,0,3.4,0.1,0,0,26.9,0.222222222,0.625,0,25,7,7,3,44,0.571428571,0.714285714,0.333333333,2.5,3,3.6,4,18,12,0.5,0.5,2,2.7,Mayo Clinic Scottsdale,Yes,No,Yes,No,Yes,Yes,Yes
