PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDSingLvBirthRate1,FshNDSingLvBirthRate2,FshNDSingLvBirthRate3,FshNDSingLvBirthRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
ART PROGRAM OF ALABAMA,,BIRMINGHAM,ALABAMA,100%,0%,0%,0%,73%,0%,2%,9%,6%,2%,<1%,1%,4%,<1%,0%,22%,54%,"Kathryn L. Honea, M.D.",125,45,17,7,40,46.7,0.235294118,0.428571429,36,42.2,0.176470588,0,(27.6 - 44.4),(27.8 - 56.7),,,40.9,46.3,0.214285714,0,42.5,46.3,0.214285714,0,24.5,34.1,0.142857143,0,12,8.9,0.176470588,0.142857143,2.7,3.2,3.9,4.6,34,23.8,0,0,10,9.5,0.25,0.333333333,42.2,0.263157895,0.333333333,=,12,4,4,0,0.25,0.25,0,=,1.8,2.3,1.8,=,29,5,24.1,0.2,2.3,2.6,ART Program of Alabama,Yes,Yes,No,Yes,Yes,Yes,Yes
UNIVERSITY OF ALABAMA AT BIRMINGHAM,,BIRMINGHAM,ALABAMA,93%,7%,0%,0%,41%,0%,0%,21%,6%,9%,2%,0%,20%,0%,2%,23%,17%,"Michael P. Steinkampf, M.D.",43,17,7,1,23.3,0.294117647,0.142857143,0,18.6,0.294117647,0.142857143,0,(7.0 - 30.2),,,,19,0.294117647,0.142857143,=,20,0.294117647,0.142857143,=,10,0.176470588,0.142857143,=,2.3,0,0,1,3.4,3.2,4,=,0.4,0.4,0,=,0.2,0.2,0,=,0.5,0.4,0,=,6,1,2,0,0,0,0,=,1.3,1,1.5,=,12,0,0.5,=,3,=,University of Alabama at Birmingham,Yes,No,Yes,Yes,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE MEDICINE,,MOBILE,ALABAMA,100%,0%,0%,0%,65%,0%,0%,7%,2%,<1%,9%,<1%,1%,21%,0%,17%,41%,"George T. Koulianos, M.D.",87,37,23,7,59.8,45.9,26.1,0.285714286,50.6,37.8,17.4,0.142857143,(40.1 - 61.1),(22.2 - 53.5),(1.9 - 32.9),,56.4,43.8,0.235294118,0.2,58.7,46.7,0.235294118,0.25,34.7,36.7,0.235294118,0.25,10.3,13.5,26.1,0.285714286,2.7,3.3,4.3,5.8,36.5,0.235294118,0.166666667,0,9.6,0.058823529,0.166666667,0,40.9,0.214285714,0,0,2,2,1,1,0.5,0.5,1,0,4,6,6,6,12,0,0.583333333,=,2.5,=,Center for Reproductive Medicine,Yes,Yes,No,Yes,Yes,Yes,Yes
UNIVERSITY OF SOUTH ALABAMA IVF AND ART PROGRAM,,MOBILE,ALABAMA,100%,0%,0%,0%,52%,3%,0%,22%,6%,6%,8%,3%,5%,0%,0%,28%,22%,"Botros R.M. Rizk, M.D.",18,9,4,1,0.388888889,0.333333333,0,0,0.388888889,0.333333333,0,0,,,,,0.4375,0.375,0,0,0.4375,0.375,0,=,0.3125,0,0,=,0.111111111,0.111111111,0.25,0,2.9,3.5,2,=,0.285714286,0.666666667,=,=,0,0.333333333,=,=,0.285714286,1,=,=,2,0,1,0,0.5,=,0,=,2.5,=,4,=,0,0,=,=,=,=,University of South Alabama IVF and ART Program,Yes,No,No,Yes,Yes,Yes,Yes
FERTILITY TREATMENT CENTER,,CHANDLER,ARIZONA,100%,0%,0%,0%,59%,<1%,0%,11%,6%,37%,6%,1%,10%,5%,3%,12%,9%,"H. Randall Craig, M.D.",90,42,45,30,26.7,31,24.4,6.7,25.6,21.4,15.6,3.3,(16.5 - 34.6),(9.0 - 33.8),(5.0 - 26.1),(0.0 - 9.8),27.7,26.5,20,4.3,37.1,31,21.9,5,25.8,20.7,18.8,5,7.8,19,22.2,23.3,2.2,2.3,2.6,2.7,29.2,0.307692308,0.272727273,0,0,0,0,0,30.4,0.333333333,0.142857143,0,38,18,16,12,44.7,0.444444444,0.25,0.083333333,2.3,2.6,2.5,2.3,24,15,37.5,0.4,2,2.5,Fertility Treatment Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WEST VALLEY FERTILITY CENTER,,GLENDALE,ARIZONA,100%,0%,0%,0%,66%,0%,<1%,13%,1%,6%,2%,0%,17%,6%,12%,7%,36%,"Vladimir Troche, M.D.",68,24,18,3,48.5,41.7,0.277777778,0,42.6,29.2,0.111111111,0,(30.9 - 54.4),(11.0 - 47.4),,,47.5,29.2,0.111111111,0,49.2,29.2,0.111111111,0,27.1,16.7,0.055555556,0,10.3,0,0,0,3.1,3.8,4,5.7,27.3,0.2,0,=,15.2,0.2,0.2,=,44.8,0.428571429,0.5,=,6,7,0,0,0.833333333,0.142857143,=,=,2.7,2.6,=,=,12,4,0.666666667,0.25,2.8,2.3,West Valley Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS,,PHOENIX,ARIZONA,100%,0%,0%,0%,49%,0%,0%,13%,5%,12%,3%,0%,20%,<1%,9%,7%,30%,"Drew Moffitt, M.D.",94,27,38,4,36.2,48.1,15.8,0.25,30.9,44.4,10.5,0.25,(21.5 - 40.2),(25.7 - 63.2),(0.8 - 20.3),,35.8,52.2,13.8,0.333333333,37.7,52.2,13.8,0.333333333,19.5,30.4,10.3,0,13.8,14.8,23.7,0.25,3.1,3.3,3.8,4,41.2,0.307692308,0.166666667,1,8.8,0.076923077,0,0,48.3,0.416666667,0.25,1,46,21,5,5,15.2,9.5,0.2,0.2,3.1,2.7,2.8,3.4,14,0,0.5,=,2.9,=,Arizona Reproductive Medicine Specialists,Yes,Yes,No,Yes,Yes,Yes,Yes
SOUTHWEST FERTILITY CENTER,,PHOENIX,ARIZONA,100%,0%,0%,0%,38%,0%,0%,5%,8%,4%,4%,0%,9%,4%,8%,39%,19%,"Sujatha Gunnala, M.D.",58,18,15,2,39.7,0.277777778,0.4,0,34.5,0.222222222,0.333333333,0,(22.3 - 46.7),,,,35.7,0.25,0.384615385,0,38.5,0.25,0.384615385,0,32.7,0.0625,0.307692308,0,3.4,0.111111111,0.133333333,0.5,2.2,2.4,2.3,3,13,0.4,0.166666667,=,4.3,0.2,0,=,15,0.75,0.2,=,5,1,0,0,0.6,0,=,=,2.8,1,=,=,11,2,0.454545455,0,2.3,4,Southwest Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ARIZONA CENTER FOR FERTILITY STUDIES,,SCOTTSDALE,ARIZONA,8%,6%,86%,0%,8%,0%,3%,6%,1%,15%,3%,0%,12%,34%,13%,7%,9%,"Jay S. Nemiro, M.D.",73,40,33,17,35.6,20,27.3,0,30.1,15,21.2,0,(19.6 - 40.7),(3.9 - 26.1),(7.3 - 35.2),,32.4,16.7,28,0,40,19.4,35,0,18.2,16.1,35,0,6.8,10,24.2,0.058823529,3.6,4.2,3.2,1.6,42.3,0.25,0,=,7.7,0.125,0,=,54.5,0.166666667,0,=,5,0,2,2,0.4,=,1,0.5,5.4,=,6,3.5,39,11,33.3,0.090909091,4.4,4.5,Arizona Center for Fertility Studies,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MAYO CLINIC SCOTTSDALE,,SCOTTSDALE,ARIZONA,100%,0%,0%,0%,72%,0%,0%,13%,3%,11%,5%,<1%,21%,0%,9%,15%,22%,"Anita P. Singh, M.D.",62,35,9,11,46.8,54.3,0.555555556,0.272727273,45.2,42.9,0.333333333,0.090909091,(32.8 - 57.5),(26.5 - 59.3),,,46.7,44.1,0.375,0.090909091,52.8,50,0.375,0.090909091,26.4,16.7,0.375,0.090909091,3.2,2.9,0.111111111,0,2.3,2.9,2.5,3.1,48.3,0.473684211,0,0,6.9,0.105263158,0,0,50,0.666666667,0,0,36,12,4,0,44.4,0.416666667,0.25,=,2.8,2.9,2.5,=,16,19,0.375,0.263157895,2.1,2.9,"Mayo Clinic in Scottsdale, Arizona",Yes,No,Yes,No,Yes,Yes,Yes
