PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,state_code,
ALABAMA FERTILITY SPECIALISTS,,BIRMINGHAM,ALABAMA,100%,0%,0%,0%,39%,0%,0%,12%,12%,19%,2%,2%,8%,2%,0%,20%,25%,"Michael P. Steinkampf, MD",30,6,6,2,43.3,0.333333333,0.166666667,0,33.3,0.333333333,0.166666667,0,(17.3Ð52.8),,,,37,0.5,0.2,0,38.5,0.5,0.2,0,30.8,0.5,0.2,0,10,0.333333333,0.166666667,0,2.6,2.5,2.8,2,0,0.5,1,=,0.153846154,0,0,=,0.2,0,0,=,4,0,1,0,0.25,=,0,=,2,=,2,=,9,2,0.444444444,0.5,2.1,2,Alabama Fertility Specialists,Yes,No,Yes,No,Yes,Yes,Yes,AL,
ART PROGRAM OF ALABAMA,,BIRMINGHAM,ALABAMA,100%,0%,0%,0%,75%,0%,3%,2%,<1%,0%,2%,<1%,8%,<1%,<1%,17%,68%,"Kathryn L. Honea, MD",151,54,23,6,43.7,33.3,26.1,0.166666667,38.4,25.9,8.7,0.166666667,(30.6Ð46.7),(15.0Ð39.7),(1.1Ð28.0),,43.3,31.1,0.105263158,0.2,45,32.6,0.117647059,0.25,25.6,20.9,0.058823529,0,11.3,16.7,17.4,0.166666667,2,2.2,2.9,2,45.5,0.388888889,0.166666667,1,1.5,0,0,0,43.1,0.357142857,0.5,1,22,9,4,0,31.8,0.111111111,0.25,=,1.8,2.1,2.8,=,37,5,48.6,0.2,2.1,1.6,ART Fertility Program of Alabama,Yes,Yes,No,Yes,Yes,Yes,Yes,AL,
UNIVERSITY OF ALABAMA AT BIRMINGHAM,,BIRMINGHAM,ALABAMA,97%,3%,0%,0%,34%,0%,0%,22%,2%,0%,9%,0%,18%,11%,0%,16%,22%,"John A. Lucas, MD",19,11,3,2,0.210526316,0.363636364,0.333333333,0,0.105263158,0.272727273,0.333333333,0,,,,,0.133333333,0.5,1,=,0.166666667,0.6,1,=,0.166666667,0.2,0,=,0.210526316,0.454545455,0.666666667,1,2.1,2.6,3,=,0,0.5,0,=,0,0,1,=,0,0.666666667,1,=,2,1,0,0,0,0,=,=,1.5,2,=,=,2,0,0,=,2,=,University of Alabama at Birmingham,Yes,No,Yes,No,Yes,Yes,Yes,AL,
"HUNTSVILLE REPRODUCTIVE MEDICINE, PC",,HUNTSVILLE,ALABAMA,100%,0%,0%,0%,62%,0%,0%,21%,5%,9%,5%,0%,4%,1%,18%,25%,12%,"Andrew J. Harper, MD",36,17,6,2,72.2,0.647058824,0.5,0.5,63.9,0.529411765,0.166666667,0.5,(46.2Ð79.2),,,,69.7,0.5625,0.166666667,1,71.9,0.6,0.166666667,1,46.9,0.466666667,0,1,8.3,0.058823529,0,0.5,2,2.4,3.3,3,34.6,0.272727273,0.666666667,0,3.8,0,0,0,34.8,0.222222222,1,0,7,1,0,0,0.285714286,1,=,=,2.3,3,=,=,5,1,0.6,1,1.8,3,"Huntsville Reproductive Medicine, PC",Yes,Yes,Yes,Yes,Yes,No,No,AL,
CENTER FOR REPRODUCTIVE MEDICINE,,MOBILE,ALABAMA,100%,0%,0%,0%,73%,0%,0%,23%,5%,4%,14%,0%,8%,11%,<1%,10%,24%,"George T. Koulianos, MD",107,33,18,10,52.3,48.5,0.5,0.3,47.7,39.4,0.388888889,0.3,(37.9Ð57.5),(22.9Ð57.9),,,55.4,44.8,0.411764706,0.428571429,60.7,44.8,0.4375,0.6,44,24.1,0.375,0.4,14,12.1,0.055555556,0.3,2.1,2.2,3.3,3.4,35.7,0.375,0.222222222,0.333333333,0,0.0625,0,0,27.5,0.461538462,0.142857143,0.333333333,8,7,4,0,0.375,0.285714286,0.5,=,2.9,2.6,3.8,=,22,4,50,0.25,2,2.5,Center for Reproductive Medicine,Yes,Yes,No,Yes,Yes,Yes,Yes,AL,
UNIVERSITY OF SOUTH ALABAMA IVF AND ART PROGRAM,,MOBILE,ALABAMA,100%,0%,0%,0%,66%,0%,0%,4%,4%,9%,4%,0%,15%,0%,4%,17%,41%,"Botros M. Rizk, MD",21,5,9,3,23.8,0,0.111111111,0,19,0,0,0,(5.4Ð41.9),,,,19,0,0,0,20,0,0,0,15,0,0,0,0,0,0,0,2.5,3,2,1,0.2,=,0,=,0,=,0,=,0.25,=,=,=,4,1,0,1,0.25,0,=,0,3,2,=,3,1,0,0,=,3,=,University of South Alabama IVF and ART Program,Yes,No,No,No,Yes,Yes,Yes,AL,
PENINSULA MEDICAL CENTER,"DR. JOHN NELS ANDERSON, MD",SOLDOTNA,ALASKA,100%,0%,0%,0%,25%,0%,0%,21%,7%,0%,9%,0%,21%,9%,14%,9%,11%,"John N. Anderson, MD",26,2,13,3,42.3,0,0.307692308,0.666666667,30.8,0,0.307692308,0.333333333,(14.3Ð51.8),,,,40,0,0.307692308,0.333333333,40,0,0.363636364,0.333333333,30,0,0.272727273,0,23.1,0,0,0,3.5,2,3.2,3.3,0.363636364,=,0.25,0.5,0,=,0,0,0.25,=,0.25,1,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,"Peninsula Medical Center, Dr. John Nels Anderson, MD",Yes,Yes,Yes,Yes,Yes,No,No,AK,
WEST VALLEY FERTILITY CENTER,,GLENDALE,ARIZONA,100%,0%,0%,0%,82%,0%,2%,4%,<1%,8%,<1%,0%,30%,2%,1%,7%,47%,"Vladimir Troche, MD",113,26,26,13,47.8,38.5,26.9,0.307692308,42.5,38.5,23.1,0.076923077,(33.2Ð52.1),(20.2Ð59.4),(9.0Ð43.6),,44.4,40,27.3,0.1,47.1,41.7,28.6,0.1,28.4,20.8,19,0.1,4.4,3.8,15.4,0.230769231,2.7,3.3,3.7,4.5,35.2,0.4,0.428571429,0,5.6,0.1,0,0,39.6,0.5,0.333333333,0,20,3,2,1,40,0.333333333,0,1,2.8,3.7,2.5,2,16,7,0.6875,0.285714286,2.6,2.7,West Valley Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ,
ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS,,PHOENIX,ARIZONA,100%,0%,0%,0%,59%,0%,0%,7%,6%,15%,2%,0%,18%,2%,12%,14%,23%,"Drew V. Moffitt, MD",120,61,28,8,31.7,34.4,28.6,0.125,22.5,27.9,25,0.125,(15.4Ð31.0),(17.1Ð40.8),(10.7Ð44.9),,23.9,34.7,25.9,0.142857143,25.2,35.4,26.9,0.142857143,15.9,27.1,23.1,0.142857143,5.8,19.7,3.6,0.125,2.3,2.5,2.7,2.1,31.6,38.1,0.125,0,7.9,0,0.125,0,37,0.235294118,0.142857143,0,86,33,13,2,22.1,36.4,0.230769231,0,2.2,2.2,2.3,2.5,16,11,0.5625,0.181818182,2.1,2.5,Arizona Reproductive Medicine Specialists,Yes,Yes,Yes,No,Yes,Yes,Yes,AZ,
IVF PHOENIX,,PHOENIX,ARIZONA,100%,0%,0%,0%,77%,0%,2%,9%,8%,7%,4%,5%,28%,1%,15%,9%,15%,"John L. Couvaras, MD",18,18,7,7,0.388888889,0.333333333,0.142857143,0,0.388888889,0.333333333,0,0,,,,,0.388888889,0.333333333,0,0,0.4375,0.333333333,0,0,0.3125,0.277777778,0,0,0,0,0,0,2.7,3.4,2.3,4,0.285714286,0.333333333,0,=,0,0,0,=,0.285714286,0.166666667,=,=,6,3,4,1,0.666666667,0,0,1,3.2,3.3,2.8,5,4,5,0.25,0.4,1.8,2.6,IVF Phoenix,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ,
