OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,state_code
1,ALABAMA FERTILITY SPECIALISTS,,BIRMINGHAM,ALABAMA,100%,0%,0%,0%,46%,0%,0%,12%,11%,4%,8%,0%,10%,1%,3%,19%,32%,"Michael P. Steinkampf, MD",34,8,5,1,38.2,0.125,0,0,35.3,0.125,0,0,(19.7Ð53.5),,,,38.7,0.142857143,0,=,40,0.166666667,0,=,26.7,0,0,=,8.8,0.125,0.2,1,2.5,2.8,3.3,=,0.384615385,1,=,=,0,0,=,=,0.333333333,1,=,=,8,4,2,0,0.125,0,0,=,2.3,2.3,3.5,=,5,3,0.4,0,2,2,Alabama Fertility Specialists,Yes,No,Yes,No,Yes,Yes,Yes,AL
2,ART FERTILITY PROGRAM OF ALABAMA,,BIRMINGHAM,ALABAMA,100%,0%,0%,0%,75%,0%,0%,2%,2%,<1%,<1%,0%,12%,2%,1%,15%,66%,"Kathryn L. Honea, MD",179,56,45,11,40.8,37.5,33.3,0.181818182,38.5,28.6,26.7,0,(31.4Ð46.1),(17.3Ð42.2),(14.6Ð41.9),,44.2,30.8,33.3,0,46.3,34,35.3,0,30.9,27.7,32.4,0,12.8,7.1,20,0.090909091,2,2.1,2.8,2.9,32.9,28.6,0.2,0,2.7,0,0,0,33.3,0.1875,0.083333333,=,22,8,2,0,22.7,0.25,0,=,2.2,2,1,=,35,9,68.6,0.333333333,2.1,2,ART Fertility Program of Alabama,Yes,Yes,No,Yes,Yes,Yes,Yes,AL
3,UNIVERSITY OF ALABAMA AT BIRMINGHAM,,BIRMINGHAM,ALABAMA,98%,2%,0%,0%,43%,0%,0%,15%,5%,7%,7%,0%,31%,9%,12%,3%,12%,"John A. Lucas, MD",30,9,12,2,36.7,0.111111111,0.166666667,0,36.7,0.111111111,0.083333333,0,(19.9Ð56.1),,,,42.3,0.142857143,0.1,=,44,0.142857143,0.1,=,28,0,0.1,=,13.3,0.222222222,0.166666667,1,2.3,2,3,=,0.272727273,1,0.5,=,0.090909091,0,0,=,0.363636364,1,0,=,1,2,0,0,0,0,=,=,3,1,=,=,2,1,0.5,0,2.5,1,University of Alabama at Birmingham,Yes,No,Yes,No,Yes,Yes,Yes,AL
4,"HUNTSVILLE REPRODUCTIVE MEDICINE, PC",,HUNTSVILLE,ALABAMA,100%,0%,0%,0%,83%,0%,3%,18%,3%,11%,2%,<1%,10%,3%,4%,25%,22%,"Andrew J. Harper, MD",52,10,12,1,51.9,0.2,0.333333333,1,46.2,0.2,0.166666667,1,(32.2Ð60.5),,,,49,0.222222222,0.181818182,1,50,0.222222222,0.181818182,1,43.8,0,0.090909091,1,5.8,0.1,0.083333333,0,2.1,2.6,3.2,3,22.2,0.5,0.25,0,0,0.5,0,0,12.5,1,0.5,0,12,7,2,0,0.666666667,0.142857143,0.5,=,1.9,2.6,2.5,=,20,5,55,0.2,2,2,"Huntsville Reproductive Medicine, PC",Yes,Yes,Yes,Yes,Yes,No,No,AL
5,CENTER FOR REPRODUCTIVE MEDICINE,,MOBILE,ALABAMA,100%,0%,0%,0%,67%,0%,0%,21%,4%,3%,13%,0%,16%,11%,0%,9%,21%,"George T. Koulianos, MD",108,39,20,5,49.1,38.5,35,0.2,44.4,30.8,30,0,(34.9Ð54.3),(17.0Ð47.6),(11.9Ð54.3),,51.1,42.9,0.461538462,0,52.7,44.4,0.461538462,0,36.3,29.6,0.153846154,0,13,28.2,35,0.4,2.1,2.4,2.8,3,32.1,0.333333333,0.571428571,0,1.9,0,0.142857143,0,31.3,0.333333333,0.666666667,=,6,2,1,0,0.333333333,0,0,=,2.2,3,2,=,25,6,40,0.333333333,2.2,2.5,Center for Reproductive Medicine,Yes,Yes,No,Yes,Yes,Yes,Yes,AL
6,UNIVERSITY OF SOUTH ALABAMA IVF AND ART PROGRAM,,MOBILE,ALABAMA,100%,0%,0%,0%,32%,0%,0%,22%,10%,7%,0%,2%,12%,5%,0%,24%,17%,"Botros M. Rizk, MD",31,1,1,5,6.5,1,0,0,6.5,0,0,0,(0.8Ð21.4),,,,7.1,0,0,0,7.7,0,0,0,7.7,0,0,0,9.7,0,0,0.2,2.2,3,1,2,0,0,=,=,0,0,=,=,0,=,=,=,2,0,0,0,0,=,=,=,2.5,=,=,=,1,0,0,=,2,=,University of South Alabama IVF and ART Program,Yes,No,No,No,Yes,Yes,Yes,AL
7,PENINSULA MEDICAL CENTER,"JOHN NELS ANDERSON, MD",SOLDOTNA,ALASKA,100%,0%,0%,0%,22%,0%,0%,19%,5%,0%,14%,0%,11%,6%,18%,13%,14%,"John N. Anderson, MD",28,7,15,5,42.9,0.285714286,0.4,0.2,32.1,0.142857143,0.266666667,0.2,(15.9Ð52.4),,,,34.6,0.142857143,0.285714286,0.333333333,40.9,0.2,0.333333333,1,18.2,0,0.25,1,7.1,0,0.066666667,0.4,2.2,2.6,3,9,0.416666667,0.5,0.333333333,0,0.083333333,0,0,0,0.555555556,1,0.25,0,2,0,1,0,0,=,0,=,3,=,1,=,1,0,0,=,3,=,"Peninsula Medical Center, John Nels Anderson, MD",Yes,Yes,Yes,Yes,Yes,No,No,AK
8,WEST VALLEY FERTILITY CENTER,,GLENDALE,ARIZONA,100%,0%,0%,0%,88%,0%,<1%,3%,1%,2%,<1%,0%,31%,2%,1%,4%,54%,"Vladimir Troche, MD",94,48,23,10,42.6,39.6,34.8,0.2,36.2,31.3,30.4,0.2,(26.5Ð46.7),(18.7Ð46.3),(13.2Ð52.9),,37,34.9,31.8,0.2,41.5,34.9,31.8,0.222222222,24.4,27.9,22.7,0.222222222,2.1,10.4,4.3,0,2.5,2.5,2.5,2.8,40,0.315789474,0.25,0,5,0,0,0,41.2,0.2,0.285714286,0,33,9,2,0,18.2,0.111111111,1,=,2.5,2.3,3,=,22,4,54.5,0.5,2.3,3,West Valley Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ
9,ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS,,PHOENIX,ARIZONA,100%,0%,0%,0%,49%,0%,0%,5%,5%,6%,2%,0%,12%,5%,7%,26%,32%,"Drew V. Moffitt, MD",115,63,38,8,40.9,34.9,23.7,0.25,33.9,28.6,15.8,0.25,(25.3Ð43.3),(17.9Ð41.3),(6.0Ð31.3),,35.8,36,19.4,0.333333333,37.1,36.7,21.4,0.4,28.6,24.5,17.9,0.4,5.2,20.6,18.4,0.25,2.2,2.1,2.6,2.8,31.9,27.3,0.111111111,0,4.3,0,0.111111111,0,23.1,0.333333333,0.166666667,0,57,37,10,3,22.8,32.4,0.3,0,2.1,2.1,2,1.3,15,6,0.333333333,0.166666667,2,2,Arizona Reproductive Medicine Specialists,Yes,Yes,Yes,No,Yes,Yes,Yes,AZ
10,IVF PHOENIX,,PHOENIX,ARIZONA,100%,0%,0%,0%,70%,0%,0%,17%,4%,8%,6%,5%,28%,5%,17%,7%,5%,"John L. Couvaras, MD",33,18,9,9,27.3,0.222222222,0.333333333,0,27.3,0.166666667,0.111111111,0,(13.3Ð45.5),,,,27.3,0.166666667,0.111111111,0,28.1,0.230769231,0.111111111,0,18.8,0.230769231,0,0,0,0,0,0,2.6,3.5,4.1,3.3,0.333333333,0,0,=,0,0,0.333333333,=,0.333333333,0,1,=,12,11,2,2,0.083333333,0.090909091,0,0,3.2,3.5,5.5,4,7,3,0.285714286,0.333333333,3.4,4.3,IVF Phoenix,Yes,No,Yes,Yes,Yes,Yes,Yes,AZ
