OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshCI1,FshCI2,FshCI3,FshCI4,FshCI5,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDRetsRate5,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDTransRate5,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTwinPregsRate5,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDTripPregsRate5,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,FshNDMultInfsRate5,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDLvBirthsRate5,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,state_code
1,ALABAMA FERTILITY SPECIALISTS,,BIRMINGHAM,ALABAMA,100%,0%,0%,0%,46%,0%,0%,0%,8%,5%,11%,4%,1%,7%,5%,4%,27%,27%,"Michael P. Steinkampf, MD",25,16,5,0,0,68,0.5,0,=,=,64,0.4375,0,=,=,(42.5Ð82.0),,,,,64,0.538461538,0,=,=,64,0.583333333,0,=,=,48,0.5,0,=,=,0,0.1875,0.4,=,=,2.3,2.8,3.3,=,=,0.235294118,0.25,=,=,=,0.058823529,0,=,=,=,0.25,0.142857143,=,=,=,6,1,2,1,0,0.333333333,0,0,0,=,2.8,3,2,2,=,9,7,0.666666667,0.428571429,2.1,2.1,Alabama Fertility Specialists,Yes,No,Yes,No,Yes,Yes,Yes,AL
2,ART FERTILITY PROGRAM OF ALABAMA,,BIRMINGHAM,ALABAMA,100%,0%,0%,0%,80%,0%,<1%,4%,2%,<1%,0%,1%,<1%,10%,2%,<1%,19%,65%,"Kathryn L. Honea, MD",191,63,31,12,4,45,33.3,29,0.416666667,0,38.7,27,19.4,0.333333333,0,(31.8Ð46.0),(16.6Ð39.7),(7.5Ð37.5),,,43.8,31.5,26.1,0.363636364,0,47.7,34,28.6,0.4,=,32.9,26,28.6,0.4,=,11.5,14.3,25.8,0.083333333,0.25,1.9,2.2,2.6,3.1,=,32.6,33.3,0,0.2,=,0,4.8,0,0,=,31.1,0.235294118,0,0,=,26,14,4,0,0,26.9,0.285714286,0,=,=,1.9,1.5,1.5,=,=,39,11,35.9,0.363636364,1.8,2,ART Fertility Program of Alabama,Yes,Yes,No,Yes,Yes,Yes,Yes,AL
3,UNIVERSITY OF ALABAMA AT BIRMINGHAM,,BIRMINGHAM,ALABAMA,100%,0%,0%,0%,25%,0%,0%,0%,18%,2%,20%,5%,0%,16%,0%,7%,20%,13%,"G. W. Bates, MD",32,9,4,3,1,31.3,0.333333333,0.25,0,0,28.1,0.222222222,0.25,0,0,(13.7Ð46.7),,,,,36,0.285714286,0.25,0,=,37.5,0.285714286,0.25,0,=,20.8,0.142857143,0.25,0,=,21.9,0.222222222,0,0.666666667,1,2.2,2,3.3,2,=,0.3,0.333333333,0,=,=,0.1,0,0,=,=,0.444444444,0.5,0,=,=,4,1,1,0,0,0,0,0,=,=,2.3,2,2,=,=,0,0,=,=,=,=,University of Alabama at Birmingham,Yes,No,Yes,No,Yes,Yes,Yes,AL
4,"HUNTSVILLE REPRODUCTIVE MEDICINE, PC",,HUNTSVILLE,ALABAMA,100%,0%,0%,0%,75%,0%,0%,1%,11%,6%,9%,6%,2%,13%,2%,8%,25%,19%,"Andrew J. Harper, MD",49,9,8,1,2,46.9,0.222222222,0.125,0,0,40.8,0.111111111,0.125,0,0,(27.0Ð55.8),,,,,43.5,0.111111111,0.125,0,0,43.5,0.142857143,0.125,0,0,26.1,0,0,0,0,6.1,0,0,0,0.5,2,2.3,3.1,1,4,39.1,0.5,1,=,=,0,0,0,=,=,40,1,1,=,=,20,10,7,0,0,55,0.2,0.142857143,=,=,2.1,1.8,2.9,=,=,14,3,0.785714286,0.666666667,1.9,1.7,"Huntsville Reproductive Medicine, PC",Yes,Yes,Yes,Yes,Yes,No,No,AL
5,CENTER FOR REPRODUCTIVE MEDICINE,,MOBILE,ALABAMA,100%,0%,0%,0%,74%,0%,2%,2%,21%,6%,4%,11%,2%,18%,9%,0%,9%,21%,"George T. Koulianos, MD",113,60,27,7,0,51.3,38.3,33.3,0,=,44.2,28.3,18.5,0,=,(34.9Ð53.9),(17.5Ð41.4),(6.3Ð38.1),,,52.6,30.9,0.263157895,0,=,53.8,32.7,0.263157895,0,=,39.8,25,0.210526316,0,=,15.9,8.3,29.6,0.285714286,=,2.2,2.3,3,2.4,=,25.9,34.8,0.111111111,=,=,1.7,0,0.111111111,=,=,26,0.235294118,0.2,=,=,8,6,1,1,0,0.125,0.166666667,0,0,=,2.4,2.5,1,3,=,25,4,44,0.25,2.1,2.5,Center for Reproductive Medicine,Yes,Yes,No,Yes,Yes,Yes,Yes,AL
6,UNIVERSITY OF SOUTH ALABAMA IVF AND ART PROGRAM,,MOBILE,ALABAMA,100%,0%,0%,0%,64%,0%,0%,0%,13%,13%,16%,0%,0%,7%,0%,0%,21%,31%,"Botros M. Rizk, MD",31,8,10,7,2,16.1,0.25,0.1,0.142857143,0.5,16.1,0,0.1,0.142857143,0.5,(5.5Ð33.7),,,,,17.9,0,0.1,0.166666667,0.5,22.7,0,0.142857143,0.2,0.5,22.7,0,0.142857143,0.2,0.5,9.7,0,0,0.142857143,0,2.6,2.7,2.6,2,1.5,0,0,0,0,0,0,0,0,0,0,0,=,0,0,0,2,0,0,0,0,0.5,=,=,=,=,3,=,=,=,=,2,0,0,=,2.5,=,University of South Alabama IVF and ART Program,No,No,No,No,Yes,Yes,Yes,AL
7,PENINSULA MEDICAL CENTER,"JOHN NELS ANDERSON, MD",SOLDOTNA,ALASKA,100%,0%,0%,0%,30%,0%,1%,0%,21%,7%,5%,7%,0%,27%,5%,9%,8%,13%,"John N. Anderson, MD",43,16,13,4,5,44.2,0.25,0,0,0,39.5,0.25,0,0,0,(25.0Ð55.6),,,,,44.7,0.266666667,0,0,0,50,0.307692308,0,0,0,32.4,0.153846154,0,0,0,11.6,0.0625,0,0,0.2,2.6,2.4,2.8,2,2,0.315789474,0.75,=,=,=,0,0,=,=,=,0.352941176,0.5,=,=,=,3,2,0,0,0,0,0,=,=,=,2,1.5,=,=,=,1,0,0,=,2,=,"Peninsula Medical Center, John Nels Anderson, MD",No,No,Yes,Yes,Yes,No,No,AK
8,WEST VALLEY FERTILITY CENTER,,GLENDALE,ARIZONA,100%,0%,0%,0%,85%,0%,3%,2%,4%,0%,2%,<1%,<1%,35%,4%,2%,4%,47%,"Vladimir Troche, MD",75,47,43,7,0,44,36.2,27.9,0.142857143,=,41.3,34,14,0.142857143,=,(30.1Ð53.3),(20.9Ð49.3),(5.3Ð27.9),,,44.3,41,15.8,0.166666667,=,47.7,41,16.7,0.166666667,=,33.8,15.4,16.7,0.166666667,=,6.7,17,11.6,0.142857143,=,2.5,2.9,3.4,2.2,=,21.2,0.411764706,0,0,=,12.1,0.176470588,0.083333333,0,=,29,0.625,0,0,=,33,11,3,2,0,27.3,0.454545455,0.666666667,0,=,2.3,2.6,2.7,2,=,21,11,47.6,0.545454545,2.5,2.8,West Valley Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ
9,ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS,,PHOENIX,ARIZONA,100%,0%,0%,0%,52%,0%,0%,3%,8%,4%,8%,<1%,0%,11%,2%,6%,24%,36%,"Drew V. Moffitt, MD",109,64,48,15,4,35.8,26.6,12.5,0.133333333,0.5,28.4,25,12.5,0.066666667,0.5,(20.2Ð37.9),(15.0Ð37.4),(4.7Ð25.2),,,33.3,31.4,16.7,0.1,1,34.4,32.7,17.1,0.111111111,1,24.4,22.4,14.3,0.111111111,1,14.7,20.3,25,0.333333333,0.5,2.2,2.3,2.7,3.1,3,23.1,0.411764706,0.166666667,0,0,5.1,0,0,0,0,29,0.3125,0.166666667,0,0,68,31,18,4,3,30.9,16.1,0.111111111,0.25,0,1.9,1.9,1.9,2,1.7,15,19,0.533333333,0.421052632,2.1,1.9,Arizona Reproductive Medicine Specialists,Yes,Yes,Yes,No,Yes,Yes,Yes,AZ
10,IVF PHOENIX,,PHOENIX,ARIZONA,100%,0%,0%,0%,63%,0%,0%,0%,16%,5%,8%,8%,0%,27%,0%,21%,10%,6%,"John L. Couvaras, MD",13,12,6,4,0,0.538461538,0.166666667,0.333333333,0,=,0.461538462,0.166666667,0.166666667,0,=,,,,,,0.461538462,0.2,0.166666667,0,=,0.5,0.285714286,0.166666667,0,=,0.333333333,0.285714286,0.166666667,0,=,0,0.166666667,0,0,=,2.7,3.4,3.3,4,=,0.285714286,0,0,=,=,0,0,0,=,=,0.333333333,0,0,=,=,9,7,1,0,1,0,0,1,=,0,3.4,4.4,5,=,5,6,3,0.333333333,0,2,3.3,IVF Phoenix,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ
