OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,eSETTotal,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshCI1,FshCI2,FshCI3,FshCI4,FshCI5,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDRetsRate5,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDTransRate5,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTwinPregsRate5,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDTripPregsRate5,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,FshNDMultInfsRate5,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDLvBirthsRate5,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,state_code
1,ALABAMA FERTILITY SPECIALISTS,,BIRMINGHAM,ALABAMA,100%,0%,0%,0%,54%,0%,0%,0%,2%,11%,14%,8%,3%,1%,8%,2%,4%,20%,28%,"Michael P. Steinkampf, MD",46,7,5,3,0,20.2,0.285714286,0.333333333,0.142857143,=,39.1,0.285714286,0.2,0.333333333,=,28.3,0.285714286,0.2,0,=,(16.0Ð43.5),,,,,30.2,0.333333333,0.333333333,0,=,31.7,0.4,0.333333333,0,=,24.4,0,0,0,=,6.5,0.142857143,0.4,0.333333333,=,2.3,2.8,2,3.5,=,0.166666667,1,1,0,=,0,0,0,0,=,0.230769231,1,1,=,=,8,0,2,0,0,0.25,=,0,=,=,2.5,=,3,=,=,11,3,0.181818182,0,2.2,2,Alabama Fertility Specialists,Yes,Yes,Yes,No,Yes,Yes,Yes,AL
2,ART FERTILITY PROGRAM OF ALABAMA,,BIRMINGHAM,ALABAMA,100%,0%,0%,0%,87%,0%,1%,<1%,4%,2%,<1%,<1%,<1%,<1%,9%,<1%,<1%,16%,69%,"Kathryn L. Honea, MD",166,61,38,11,1,34.2,20.4,16.5,0,1,45.2,26.2,36.8,0.090909091,1,42.8,16.4,21.1,0,1,(35.1Ð50.7),(8.2Ð28.1),(9.6Ð37.3),,,48,18.2,22.2,0,1,51.4,19.6,25,0,1,39.1,11.8,18.8,0,1,10.8,9.8,5.3,0.272727273,0,1.9,2,2.8,2.9,1,25.3,0.375,0.214285714,0,0,0,0.0625,0,0,0,23.9,0.4,0.25,=,0,30,8,4,1,0,26.7,0.25,0.25,0,=,1.7,1.8,2,1,=,31,20,38.7,50,1.9,2.7,ART Fertility Program of Alabama,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AL
3,UNIVERSITY OF ALABAMA AT BIRMINGHAM,,BIRMINGHAM,ALABAMA,100%,0%,0%,0%,42%,0%,0%,1%,0%,18%,0%,18%,5%,1%,28%,5%,10%,8%,9%,"Gordon W. Bates, MD",40,15,10,4,0,27.1,11.1,14.3,0,=,50,0.133333333,0.2,0,=,45,0.133333333,0.2,0,=,(29.3Ð61.5),,,,,47.4,0.2,0.25,0,=,48.6,0.2,0.285714286,0,=,40.5,0.2,0.142857143,0,=,5,0.333333333,0.2,0,=,2.3,2.7,3,2.5,=,10,0.5,0.5,=,=,5,0,0,=,=,0.166666667,0,0.5,=,=,2,3,0,0,0,0,0,=,=,=,2,1.3,=,=,=,6,0,0.666666667,=,2,=,University of Alabama at Birmingham,Yes,No,Yes,Yes,Yes,Yes,Yes,AL
4,"HUNTSVILLE REPRODUCTIVE MEDICINE, PC",,HUNTSVILLE,ALABAMA,100%,0%,0%,0%,72%,0%,3%,3%,2%,16%,3%,11%,4%,0%,11%,<1%,4%,25%,25%,"Andrew J. Harper, MD",48,15,10,1,1,41.9,26.5,28.6,0,0,56.3,0.533333333,0.5,0,0,52.1,0.4,0.4,0,0,(37.2Ð66.7),,,,,55.6,0.428571429,0.5,0,0,59.5,0.428571429,0.5,0,0,35.7,0.357142857,0.375,0,0,6.3,0.066666667,0.2,0,0,2,2.4,2.6,4,5,37,0.25,0.2,=,=,0,0,0,=,=,40,0.166666667,0.25,=,=,25,5,2,0,1,32,0.2,0,=,0,1.9,2.2,2.5,=,2,19,8,0.526315789,0.375,1.9,2.1,"Huntsville Reproductive Medicine, PC",Yes,Yes,Yes,Yes,Yes,No,No,AL
5,CENTER FOR REPRODUCTIVE MEDICINE,,MOBILE,ALABAMA,100%,0%,0%,0%,78%,0%,0%,2%,<1%,19%,4%,6%,13%,<1%,19%,10%,0%,12%,17%,"George T. Koulianos, MD",125,45,29,2,4,37.9,21.7,13.5,0.2,=,50.4,31.1,27.6,0.5,0,44,28.9,20.7,0.5,0,(35.1Ð53.2),(16.4Ð44.3),(8.0Ð39.7),,,51.9,37.1,26.1,0.5,0,54.5,37.1,27.3,0.5,=,41.6,31.4,22.7,0.5,=,15.2,22.2,20.7,0,0.75,2.1,2.4,3.4,2.5,=,30.2,0.285714286,0.25,0,=,0,0,0,0,=,23.6,0.153846154,0.166666667,0,=,6,9,3,3,1,0.333333333,0.111111111,0,0,0,2.5,2.4,2,2,1,31,1,51.6,0,2,2,Center for Reproductive Medicine,Yes,Yes,No,Yes,Yes,Yes,Yes,AL
6,UNIVERSITY OF SOUTH ALABAMA IVF AND ART PROGRAM,,MOBILE,ALABAMA,100%,0%,0%,0%,82%,0%,0%,0%,0%,2%,27%,13%,2%,0%,5%,0%,0%,32%,19%,"Botros M. Rizk, MD",22,17,11,3,2,31.8,14.3,0.166666667,0,0,40.9,0.176470588,0.363636364,0,0,27.3,0.117647059,0.181818182,0,0,(10.7Ð50.2),,,,,0.315789474,0.133333333,0.2,0,0,0.352941176,0.142857143,0.25,0,0,0.235294118,0.071428571,0.25,0,0,13.6,0.117647059,0.090909091,0,0,2.6,2.5,2.3,2.5,2,0.333333333,0.666666667,0,=,=,0.111111111,0,0,=,=,0.333333333,0.5,0,=,=,2,2,0,0,0,0.5,0,=,=,=,3,2.5,=,=,=,1,0,1,=,4,=,University of South Alabama IVF and ART Program,No,No,No,No,Yes,Yes,Yes,AL
7,PENINSULA MEDICAL CENTER,"JOHN NELS ANDERSON, MD",SOLDOTNA,ALASKA,100%,0%,0%,0%,38%,1%,0%,0%,0%,13%,14%,4%,2%,0%,22%,14%,9%,11%,13%,"John N. Anderson, MD",44,29,12,7,5,15.8,5.3,3.7,0,0,27.3,13.8,0.166666667,0,0,11.4,6.9,0,0,0,(3.8Ð24.6),(0.8Ð22.8),,,,13.5,8,0,0,0,16.1,8.7,0,0,0,9.7,8.7,0,0,0,15.9,13.8,0,0.285714286,0.4,3.1,3.3,2.7,2.6,3.7,0.333333333,0,0,=,=,0,0,0,=,=,0.4,0,=,=,=,4,3,1,1,0,0.25,0.333333333,0,0,=,2.8,2.7,2,2,=,1,2,0,0,2,2,"Peninsula Medical Center, John Nels Anderson, MD",No,No,Yes,Yes,Yes,No,No,AK
8,WEST VALLEY FERTILITY CENTER,,GLENDALE,ARIZONA,100%,0%,0%,0%,91%,0%,<1%,2%,<1%,3%,1%,7%,3%,0%,34%,5%,6%,5%,36%,"Vladimir Troche, MD",62,26,25,11,1,37.3,17.3,16,15.8,0,59.7,46.2,44,0.454545455,0,53.2,30.8,32,0.272727273,0,(40.1Ð66.0),(14.3Ð51.8),(14.9Ð53.5),,,54.1,32,34.8,0.272727273,0,56.9,33.3,36.4,0.3,0,31,25,27.3,0.1,0,1.6,3.8,8,0,0,2.6,3.4,3.4,3.8,5,51.4,0.25,0.181818182,0.4,=,2.7,0,0,0,=,45.5,0.25,0.25,0.666666667,=,20,5,3,2,0,30,0.2,0,0.5,=,2.7,2.2,2.7,3,=,14,10,0.642857143,0.4,2.1,2.9,West Valley Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ
9,ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS,,PHOENIX,ARIZONA,100%,0%,0%,0%,60%,0%,0%,3%,4%,6%,1%,10%,2%,0%,13%,2%,4%,16%,46%,"Drew V. Moffitt, MD",93,60,58,10,10,25.8,20,23.9,0,0,38.7,30,25.9,0,0.1,36.6,23.3,17.2,0,0,(26.8Ð47.2),(13.4Ð36.0),(8.6Ð29.4),,,38.6,28.6,25.6,0,0,39.5,29.8,27,0,0,25.6,21.3,16.2,0,0,5.4,18.3,32.8,0.3,0.2,2.2,2.3,2.4,3.3,3.3,33.3,0.333333333,0.333333333,=,0,2.8,0,0.066666667,=,0,35.3,0.285714286,0.4,=,=,62,27,22,4,0,41.9,29.6,18.2,0.5,=,1.8,1.7,2,2,=,19,13,0.684210526,0.461538462,2,2.1,Arizona Reproductive Medicine Specialists,Yes,Yes,Yes,No,Yes,Yes,Yes,AZ
10,SOUTHWEST FERTILITY CENTER,,PHOENIX,ARIZONA,100%,0%,0%,0%,74%,0%,0%,2%,4%,0%,<1%,8%,3%,2%,3%,4%,5%,36%,39%,"Sujatha Gunnala, MD",56,18,7,7,0,9.3,18.6,0.166666667,0.058823529,=,19.6,0.388888889,0.142857143,0.142857143,=,17.9,0.333333333,0.142857143,0.142857143,=,(8.9Ð30.4),,,,,18.2,0.352941176,0.166666667,0.142857143,=,18.9,0.352941176,0.2,0.166666667,=,15.1,0.235294118,0,0.166666667,=,1.8,0.055555556,0.142857143,0,=,2.4,2.5,2.4,2.8,=,0.181818182,0.285714286,1,0,=,0,0,0,0,=,0.2,0.333333333,1,0,=,16,2,7,1,3,0.5,0,0,0,0,2.3,2.5,2.1,1,1.7,8,8,0.625,0.375,1.9,2.4,Southwest Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ
