OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,eSETTotal,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshCI1,FshCI2,FshCI3,FshCI4,FshCI5,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDRetsRate5,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDTransRate5,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTwinPregsRate5,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDTripPregsRate5,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,FshNDMultInfsRate5,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDLvBirthsRate5,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,state_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ALABAMA FERTILITY SPECIALISTS,,BIRMINGHAM,ALABAMA,100%,0%,0%,0%,38%,0%,0%,0%,0%,11%,4%,3%,7%,0%,16%,2%,2%,26%,0.29,"Michael P. Steinkampf, MD",35.00,12.00,6.00,4.00,1.00,18.20,17.90,0.29,0.00,=,31.40,0.25,0.17,0.00,0.00,28.60,0.25,0.17,0.00,0.00,(14.6Ð46.3),,,,,34.50,0.30,0.50,0.00,=,38.50,0.30,0.50,0.00,=,30.80,0.20,0.50,0.00,=,17.10,0.17,0.67,0.25,1.00,2.50,2.80,3.50,4.00,=,0.18,0.00,1.00,=,=,0.00,0.33,0.00,=,=,0.20,0.33,0.00,=,=,17.00,2.00,0.00,0.00,0.00,0.29,0.00,=,=,=,2.20,2.00,=,=,=,3.00,6.00,0.67,0.33,2.30,1.50,Alabama Fertility Specialists,Yes,Yes,Yes,No,Yes,Yes,Yes,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ART FERTILITY PROGRAM OF ALABAMA,,BIRMINGHAM,ALABAMA,100%,0%,0%,0%,88%,0%,1%,1%,6%,1%,1%,0%,1%,0%,11%,3%,1%,11%,0.71,"Kathryn L. Honea, MD",168.00,28.00,32.00,1.00,3.00,30.00,29.50,14.50,=,0.00,36.90,46.40,21.90,0.00,0.00,32.70,39.30,12.50,0.00,0.00,(25.7Ð40.4),(21.5Ð59.4),(3.5Ð29.0),,,36.40,44.00,14.30,0.00,0.00,39.00,50.00,15.40,=,0.00,29.10,50.00,11.50,=,0.00,10.10,10.70,12.50,0.00,0.67,1.80,2.00,2.40,=,4.00,29.00,0.08,0.00,=,=,1.60,0.00,0.14,=,=,25.50,0.00,0.25,=,=,46.00,7.00,2.00,2.00,0.00,21.70,0.14,0.50,0.00,=,1.70,1.10,1.00,1.00,=,27.00,21.00,44.40,33.30,1.70,2.00,ART Fertility Program of Alabama,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UNIVERSITY OF ALABAMA AT BIRMINGHAM,,BIRMINGHAM,ALABAMA,100%,0%,0%,0%,58%,0%,3%,0%,7%,25%,8%,23%,2%,0%,14%,0%,0%,15%,0.14,"Gordon W. Bates, MD",18.00,14.00,3.00,1.00,2.00,20.70,16.10,0.11,0.00,0.00,0.28,0.36,0.33,0.00,0.00,0.22,0.36,0.33,0.00,0.00,,,,,,0.25,0.38,0.33,0.00,0.00,0.27,0.38,0.33,0.00,0.00,0.27,0.38,0.33,0.00,0.00,0.11,0.07,0.00,0.00,0.50,1.90,2.40,3.00,3.00,2.00,0.20,0.00,0.00,=,=,0.00,0.00,0.00,=,=,0.00,0.00,0.00,=,=,6.00,3.00,1.00,0.00,0.00,0.00,0.00,1.00,=,=,1.80,2.00,3.00,=,=,1.00,2.00,1.00,0.50,2.00,2.00,University of Alabama at Birmingham,Yes,No,Yes,Yes,Yes,Yes,Yes,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"HUNTSVILLE REPRODUCTIVE MEDICINE, PC",,HUNTSVILLE,ALABAMA,100%,0%,0%,0%,76%,3%,4%,0%,2%,4%,<1%,13%,6%,<1%,11%,<1%,5%,35%,0.24,"Andrew J. Harper, MD",42.00,19.00,9.00,2.00,0.00,34.40,18.80,25.00,0.00,=,54.80,0.47,0.44,0.00,=,45.20,0.42,0.33,0.00,=,(29.8Ð61.3),,,,,46.30,0.44,0.43,0.00,=,46.30,0.44,0.43,0.00,=,29.30,0.44,0.43,0.00,=,2.40,0.05,0.22,0.00,=,2.20,2.70,2.90,2.50,=,34.80,0.00,0.00,=,=,4.30,0.00,0.25,=,=,0.37,0.00,0.00,=,=,23.00,8.00,8.00,0.00,0.00,26.10,0.25,0.25,=,=,1.90,1.80,1.90,=,=,10.00,10.00,0.80,0.30,2.10,2.10,"Huntsville Reproductive Medicine, PC",Yes,Yes,Yes,Yes,Yes,No,No,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CENTER FOR REPRODUCTIVE MEDICINE,,MOBILE,ALABAMA,100%,0%,0%,0%,84%,0%,2%,2%,1%,15%,3%,3%,12%,2%,29%,9%,0%,13%,0.15,"George T. Koulianos, MD",95.00,39.00,23.00,16.00,3.00,41.10,25.30,19.20,9.40,0.00,49.50,43.60,56.50,0.31,0.00,46.30,35.90,47.80,0.00,0.00,(36.0Ð56.8),(21.2Ð52.8),(26.8Ð69.4),,,54.30,40.00,47.80,0.00,0.00,57.10,40.00,47.80,0.00,0.00,36.40,34.30,43.50,0.00,0.00,14.70,10.30,0.00,0.00,0.33,2.10,2.10,3.20,3.30,3.00,42.60,0.24,0.23,0.20,=,0.00,0.00,0.00,0.00,=,36.40,0.14,0.09,=,=,9.00,6.00,6.00,3.00,0.00,0.33,0.50,0.17,0.33,=,2.00,2.00,2.20,3.00,=,22.00,0.00,50.00,=,2.00,,Center for Reproductive Medicine,Yes,Yes,No,Yes,Yes,Yes,Yes,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,UNIVERSITY OF SOUTH ALABAMA IVF AND ART PROGRAM,,MOBILE,ALABAMA,100%,0%,0%,0%,90%,0%,0%,0%,0%,9%,9%,0%,3%,0%,3%,0%,0%,53%,0.24,"Botros M. Rizk, MD",16.00,7.00,3.00,5.00,0.00,31.60,0.47,0.33,0.10,=,0.50,0.43,0.67,0.20,=,0.50,0.29,0.33,0.00,=,,,,,,0.50,0.29,0.33,0.00,=,0.53,0.40,0.50,0.00,=,0.40,0.20,0.50,0.00,=,0.00,0.00,0.00,0.00,=,2.50,3.00,3.00,2.50,=,0.25,0.67,0.00,0.00,=,0.13,0.33,0.00,0.00,=,0.25,0.50,0.00,=,=,3.00,0.00,0.00,0.00,0.00,0.00,=,=,=,=,2.00,=,=,=,=,0.00,0.00,=,=,=,,University of South Alabama IVF and ART Program,No,No,No,No,Yes,Yes,Yes,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PENINSULA MEDICAL CENTER,"JOHN NELS ANDERSON, MD",SOLDOTNA,ALASKA,100%,0%,0%,0%,32%,0%,0%,0%,0%,17%,10%,1%,12%,0%,21%,18%,5%,0%,0.17,"John N. Anderson, MD",32.00,12.00,16.00,7.00,1.00,13.70,10.00,8.00,0.06,=,28.10,0.25,0.13,0.14,0.00,21.90,0.17,0.00,0.14,0.00,(9.3Ð40.0),,,,,22.60,0.17,0.00,0.14,0.00,25.90,0.18,0.00,0.17,=,18.50,0.18,0.00,0.17,=,3.10,0.00,0.19,0.00,0.00,2.70,2.70,2.50,2.80,=,0.33,0.00,0.50,0.00,=,0.00,0.00,0.00,0.00,=,0.29,0.00,=,0.00,=,5.00,1.00,2.00,0.00,0.00,0.40,1.00,0.00,=,=,2.60,4.00,3.00,=,=,2.00,0.00,0.00,=,3.00,,"Peninsula Medical Center, John Nels Anderson, MD",No,No,No,No,Yes,No,No,AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,TROCHƒ FERTILITY CENTERS,,GLENDALE,ARIZONA,100%,0%,0%,0%,94%,0%,0%,3%,0%,4%,3%,10%,0%,2%,38%,1%,3%,6%,0.34,"Vladimir Troche, MD",59.00,15.00,14.00,4.00,1.00,44.30,23.10,11.90,0.14,0.00,61.00,0.33,0.29,0.25,0.00,52.50,0.27,0.29,0.00,0.00,(39.1Ð65.7),,,,,54.40,0.29,0.31,0.00,0.00,57.40,0.29,0.31,0.00,0.00,33.30,0.21,0.23,0.00,0.00,3.40,0.07,0.07,0.50,0.00,2.30,2.80,3.20,3.50,3.00,38.90,0.00,0.25,0.00,=,8.30,0.20,0.00,0.00,=,41.90,0.25,0.25,=,=,20.00,5.00,5.00,3.00,1.00,55.00,0.40,0.00,0.33,1.00,2.20,3.20,1.60,3.00,1.00,15.00,10.00,0.47,0.30,2.10,2.40,TrochŽ Fertility Centers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS,,PHOENIX,ARIZONA,100%,0%,0%,0%,54%,0%,0%,3%,2%,3%,6%,12%,2%,0%,12%,4%,3%,11%,0.48,"Drew V. Moffitt, MD",92.00,51.00,47.00,18.00,3.00,25.50,22.00,14.30,0.05,0.00,37.00,37.30,23.40,0.22,0.00,31.50,25.50,17.00,0.06,0.00,(22.2Ð42.0),(14.3Ð39.6),(7.6Ð30.8),,,34.90,33.30,21.60,0.08,0.00,36.70,33.30,22.90,0.10,0.00,25.30,28.20,14.30,0.10,0.00,9.80,23.50,21.30,0.28,0.00,2.10,2.30,2.40,1.90,2.70,32.40,0.21,0.27,0.00,=,0.00,0.00,0.00,0.00,=,31.00,0.15,0.38,0.00,=,67.00,14.00,22.00,9.00,1.00,37.30,0.29,27.30,0.44,0.00,1.70,1.80,1.80,1.80,2.00,22.00,19.00,54.50,0.53,2.00,1.70,Arizona Reproductive Medicine Specialists,Yes,Yes,Yes,No,Yes,Yes,Yes,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SOUTHWEST FERTILITY CENTER,,PHOENIX,ARIZONA,100%,0%,0%,0%,75%,0%,0%,0%,3%,6%,0%,6%,1%,2%,5%,2%,0%,35%,0.43,"Sujatha Gunnala, MD",27.00,14.00,7.00,0.00,0.00,26.70,15.40,0.24,=,=,33.30,0.29,0.43,=,=,29.60,0.21,0.29,=,=,(13.8Ð50.2),,,,,29.60,0.25,0.33,=,=,40.00,0.25,0.33,=,=,25.00,0.25,0.17,=,=,0.00,0.14,0.14,=,=,2.30,2.20,2.80,=,=,0.33,0.00,0.33,=,=,0.00,0.00,0.00,=,=,0.38,0.00,0.50,=,=,15.00,7.00,4.00,0.00,1.00,0.47,0.29,0.50,=,0.00,1.80,2.00,2.00,=,3.00,7.00,5.00,0.29,0.20,2.40,2.00,Southwest Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
