OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,TotPerformedCycles,TotBankingCycles,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDCycle6,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDCansRate6,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDEmbryosRate6,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDImplant6,FshNDeSETRate1,FshNDeSETRate2,FshNDeSETRate3,FshNDeSETRate4,FshNDeSETRate5,FshNDeSETRate6,FshNDSnglLBRate1,FshNDSnglLBRate2,FshNDSnglLBRate3,FshNDSnglLBRate4,FshNDSnglLBRate5,FshNDSnglLBRate6,FshNDTripLBRate1,FshNDTripLBRate2,FshNDTripLBRate3,FshNDTripLBRate4,FshNDTripLBRate5,FshNDTripLBRate6,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshNDLvBirthsRate6,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDPregRate6,FshNDTransfers1,FshNDTransfers2,FshNDTransfers3,FshNDTransfers4,FshNDTransfers5,FshNDTransfers6,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDSnglLB_TransRate6,FshNDTripLB_TransRate1,FshNDTripLB_TransRate2,FshNDTripLB_TransRate3,FshNDTripLB_TransRate4,FshNDTripLB_TransRate5,FshNDTripLB_TransRate6,FshNDLvBirths_TransRate1,FshNDLvBirths_TransRate2,FshNDLvBirths_TransRate3,FshNDLvBirths_TransRate4,FshNDLvBirths_TransRate5,FshNDLvBirths_TransRate6,FshNDTransPregRate1,FshNDTransPregRate2,FshNDTransPregRate3,FshNDTransPregRate4,FshNDTransPregRate5,FshNDTransPregRate6,FshNDPregnancies1,FshNDPregnancies2,FshNDPregnancies3,FshNDPregnancies4,FshNDPregnancies5,FshNDPregnancies6,FshNDSnglLB_PregRate1,FshNDSnglLB_PregRate2,FshNDSnglLB_PregRate3,FshNDSnglLB_PregRate4,FshNDSnglLB_PregRate5,FshNDSnglLB_PregRate6,FshNDTripLB_PregRate1,FshNDTripLB_PregRate2,FshNDTripLB_PregRate3,FshNDTripLB_PregRate4,FshNDTripLB_PregRate5,FshNDTripLB_PregRate6,FshNDLvBirths_PregRate1,FshNDLvBirths_PregRate2,FshNDLvBirths_PregRate3,FshNDLvBirths_PregRate4,FshNDLvBirths_PregRate5,FshNDLvBirths_PregRate6,ThwNDTotCycles1,ThwNDTotCycles2,ThwNDTotCycles3,ThwNDTotCycles4,ThwNDTotCycles5,ThwNDTotCycles6,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDTransfers6,ThwNDEstTransPerRetrievRate1,ThwNDEstTransPerRetrievRate2,ThwNDEstTransPerRetrievRate3,ThwNDEstTransPerRetrievRate4,ThwNDEstTransPerRetrievRate5,ThwNDEstTransPerRetrievRate6,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,ThwNDEmbryosRate6,ThwNDImplant1,ThwNDImplant2,ThwNDImplant3,ThwNDImplant4,ThwNDImplant5,ThwNDImplant6,ThwNDSnglLB_TransRate1,ThwNDSnglLB_TransRate2,ThwNDSnglLB_TransRate3,ThwNDSnglLB_TransRate4,ThwNDSnglLB_TransRate5,ThwNDSnglLB_TransRate6,ThwNDTripLB_TransRate1,ThwNDTripLB_TransRate2,ThwNDTripLB_TransRate3,ThwNDTripLB_TransRate4,ThwNDTripLB_TransRate5,ThwNDTripLB_TransRate6,ThwNDLvBirths_TransRate1,ThwNDLvBirths_TransRate2,ThwNDLvBirths_TransRate3,ThwNDLvBirths_TransRate4,ThwNDLvBirths_TransRate5,ThwNDLvBirths_TransRate6,ThwNDTransPregRate1,ThwNDTransPregRate2,ThwNDTransPregRate3,ThwNDTransPregRate4,ThwNDTransPregRate5,ThwNDTransPregRate6,FshDnrTotCycles,ThwDnrTotCycles,FshDnrTransfers,ThwDnrTransfers,FshDnrEmbryosRate,ThwDnrEmbryosRate,FshDnrImplant,ThwDnrImplant,FshDnrSnglLB_TransRate,ThwDnrSnglLB_TransRate,FshDnrLvBirths_TransRate,ThwDnrLvBirths_TransRate,FshDnrTransPregRate,ThwDnrTransPregRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,TotExcludedResearchCycles,state_code
1.00,ALABAMA FERTILITY SPECIALISTS,,BIRMINGHAM,ALABAMA,1.00,0.43,0.00,0.00,0.00,0.16,0.25,0.19,0.28,0.06,0.46,0.16,0.04,0.15,0.31,81.00,0.00,"Michael P. Steinkampf, MD",33.00,12.00,2.00,3.00,1.00,0.00,9.10,0.17,0.50,0.67,0.00,=,2.20,2.20,1.00,5.00,4.00,=,34.40,22.70,0.00,0.20,0.00,=,0.00,0.00,=,0.00,0.00,=,30.30,0.42,0.00,0.33,0.00,=,3.00,0.00,0.00,0.00,0.00,=,42.40,0.42,0.00,0.33,0.00,=,48.50,0.42,0.00,0.33,0.00,=,29.00,10.00,1.00,1.00,1.00,0.00,34.50,0.50,0.00,1.00,0.00,=,3.40,0.00,0.00,0.00,0.00,=,48.30,0.50,0.00,1.00,0.00,=,55.20,0.50,0.00,1.00,0.00,=,16.00,5.00,0.00,1.00,0.00,0.00,0.63,1.00,=,1.00,=,=,0.06,0.00,=,0.00,=,=,0.88,1.00,=,1.00,=,=,12.00,3.00,2.00,0.00,0.00,0.00,12.00,3.00,1.00,0.00,0.00,0.00,2.00,3.00,=,=,=,=,2.20,2.00,2.00,=,=,=,26.90,0.17,0.00,=,=,=,0.25,0.33,0.00,=,=,=,0.00,0.00,0.00,=,=,=,0.33,0.33,0.00,=,=,=,0.50,0.33,0.00,=,=,=,6.00,7.00,6.00,7.00,2.20,1.90,0.23,0.31,0.33,0.14,0.33,0.29,0.50,0.29,Alabama Fertility Specialists,Yes,Yes,Yes,No,Yes,Yes,Yes,0.00,AL
2.00,ART FERTILITY PROGRAM OF ALABAMA,,BIRMINGHAM,ALABAMA,1.00,0.81,0.00,0.01,0.03,0.28,0.19,0.21,0.21,0.05,0.63,0.71,0.04,0.19,0.55,346.00,7.00,"Michael C. Allemand, MD",131.00,44.00,39.00,5.00,4.00,0.00,12.20,18.20,20.50,0.00,0.25,=,2.00,1.80,2.40,3.40,3.30,=,30.30,22.40,15.50,0.18,0.00,=,5.30,0.00,0.00,0.00,0.00,=,17.60,13.60,7.70,0.20,0.00,=,0.80,0.00,0.00,0.00,0.00,=,28.20,18.20,12.80,0.40,0.00,=,34.40,25.00,20.50,0.40,0.00,=,99.00,32.00,29.00,5.00,3.00,0.00,23.20,18.80,10.30,0.20,0.00,=,1.00,0.00,0.00,0.00,0.00,=,37.40,25.00,17.20,0.40,0.00,=,45.50,34.40,27.60,0.40,0.00,=,45.00,11.00,8.00,2.00,0.00,0.00,51.10,0.55,0.38,0.50,=,=,2.20,0.00,0.00,0.00,=,=,82.20,0.73,0.63,1.00,=,=,32.00,9.00,12.00,2.00,0.00,0.00,30.00,7.00,8.00,2.00,0.00,0.00,1.40,3.50,1.60,=,=,=,1.80,1.70,1.80,1.00,=,=,24.50,0.33,0.14,0.00,=,=,36.70,0.29,0.13,0.00,=,=,0.00,0.00,0.00,0.00,=,=,40.00,0.43,0.13,0.00,=,=,43.30,0.57,0.25,0.00,=,=,26.00,35.00,23.00,26.00,1.80,2.00,36.60,15.10,21.70,19.20,43.50,19.20,43.50,38.50,ART Fertility Program of Alabama,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.00,AL
3.00,UNIVERSITY OF ALABAMA AT BIRMINGHAM,,BIRMINGHAM,ALABAMA,1.00,0.73,0.00,0.00,0.03,0.23,0.16,0.34,0.13,0.01,0.39,0.08,0.07,0.13,0.18,97.00,4.00,"Gordon W. Bates, MD",39.00,14.00,1.00,5.00,0.00,0.00,2.60,0.14,0.00,0.20,=,=,2.00,2.40,2.00,2.50,=,=,45.20,26.90,0.50,0.30,=,=,0.00,0.00,0.00,0.00,=,=,48.70,0.21,1.00,0.20,=,=,0.00,0.00,0.00,0.00,=,=,61.50,0.36,1.00,0.20,=,=,66.70,0.36,1.00,0.60,=,=,37.00,11.00,1.00,4.00,0.00,0.00,51.40,0.27,1.00,0.25,=,=,0.00,0.00,0.00,0.00,=,=,64.90,0.45,1.00,0.25,=,=,70.30,0.45,1.00,0.75,=,=,26.00,5.00,1.00,3.00,0.00,0.00,73.10,0.60,1.00,0.33,=,=,0.00,0.00,0.00,0.00,=,=,92.30,1.00,1.00,0.33,=,=,13.00,5.00,3.00,0.00,0.00,0.00,13.00,5.00,3.00,0.00,0.00,0.00,1.40,2.50,1.00,=,=,=,2.10,1.80,2.00,=,=,=,25.90,0.22,0.00,=,=,=,0.23,0.00,0.00,=,=,=,0.08,0.00,0.00,=,=,=,0.31,0.20,0.00,=,=,=,0.38,0.20,0.00,=,=,=,7.00,6.00,6.00,6.00,1.50,2.20,0.67,0.38,0.50,0.33,0.67,0.50,0.67,0.50,University of Alabama at Birmingham,Yes,No,Yes,Yes,Yes,Yes,Yes,0.00,AL
4.00,"HUNTSVILLE REPRODUCTIVE MEDICINE, PC",,HUNTSVILLE,ALABAMA,1.00,0.85,0.00,0.02,0.00,0.31,0.21,0.39,0.11,0.06,0.38,0.12,0.03,0.32,0.29,128.00,1.00,"Andrew J. Harper, MD",60.00,15.00,18.00,9.00,1.00,0.00,3.30,0.07,0.06,0.11,0.00,=,2.10,2.40,3.00,3.30,4.00,=,40.90,47.10,10.40,4.30,0.00,=,12.70,0.07,0.00,0.00,0.00,=,38.30,0.47,0.11,0.00,0.00,=,0.00,0.00,0.00,0.00,0.00,=,53.30,0.67,0.17,0.00,0.00,=,58.30,0.73,0.22,0.11,0.00,=,56.00,14.00,16.00,7.00,1.00,0.00,41.10,0.50,0.13,0.00,0.00,=,0.00,0.00,0.00,0.00,0.00,=,57.10,0.71,0.19,0.00,0.00,=,62.50,0.79,0.25,0.14,0.00,=,35.00,11.00,4.00,1.00,0.00,0.00,65.70,0.64,0.50,0.00,=,=,0.00,0.00,0.00,0.00,=,=,91.40,0.91,0.75,0.00,=,=,12.00,4.00,1.00,1.00,0.00,0.00,12.00,4.00,1.00,1.00,0.00,0.00,1.70,=,0.50,=,=,=,1.90,1.00,1.00,2.00,=,=,13.00,0.00,0.00,0.00,=,=,0.25,0.00,0.00,0.00,=,=,0.00,0.00,0.00,0.00,=,=,0.25,0.00,0.00,0.00,=,=,0.25,0.25,0.00,1.00,=,=,5.00,1.00,5.00,1.00,1.60,1.00,0.38,1.00,0.20,1.00,0.20,1.00,0.40,1.00,"Huntsville Reproductive Medicine, PC",Yes,No,Yes,Yes,Yes,No,No,0.00,AL
5.00,CENTER FOR REPRODUCTIVE MEDICINE,,MOBILE,ALABAMA,1.00,0.86,0.00,0.04,0.00,0.26,0.10,0.20,0.23,0.01,0.31,0.12,0.00,0.14,0.09,210.00,3.00,"George T. Koulianos, MD",81.00,31.00,18.00,13.00,2.00,0.00,6.20,16.10,0.28,0.15,0.00,=,2.00,2.10,2.90,3.20,5.00,=,37.50,24.10,17.10,0.00,0.00,=,4.20,0.00,0.00,0.00,0.00,=,27.20,12.90,0.11,0.00,0.00,=,1.20,0.00,0.00,0.00,0.00,=,43.20,22.60,0.17,0.00,0.00,=,50.60,29.00,0.22,0.08,0.50,=,76.00,26.00,12.00,11.00,2.00,0.00,28.90,15.40,0.17,0.00,0.00,=,1.30,0.00,0.00,0.00,0.00,=,46.10,26.90,0.25,0.00,0.00,=,53.90,34.60,0.33,0.09,0.50,=,41.00,9.00,4.00,1.00,1.00,0.00,53.70,0.44,0.50,0.00,0.00,=,2.40,0.00,0.00,0.00,0.00,=,85.40,0.78,0.75,0.00,0.00,=,17.00,9.00,5.00,0.00,1.00,0.00,14.00,8.00,4.00,0.00,1.00,0.00,1.30,1.30,=,=,=,=,1.90,1.60,2.80,=,1.00,=,14.80,0.08,0.27,=,1.00,=,0.29,0.13,0.25,=,1.00,=,0.00,0.00,0.00,=,0.00,=,0.29,0.13,0.50,=,1.00,=,0.29,0.25,0.50,=,1.00,=,18.00,12.00,18.00,12.00,2.10,2.20,29.70,23.10,0.33,0.17,0.44,0.25,0.50,0.50,Center for Reproductive Medicine,Yes,Yes,No,Yes,Yes,Yes,Yes,0.00,AL
6.00,UNIVERSITY OF SOUTH ALABAMA IVF AND ART PROGRAM,,MOBILE,ALABAMA,1.00,0.94,0.00,0.00,0.03,0.36,0.57,0.30,0.27,0.36,0.46,0.05,0.00,0.41,0.46,45.00,1.00,"Botros M. Rizk, MD",28.00,3.00,2.00,2.00,0.00,0.00,3.60,0.00,0.50,0.00,=,=,2.40,1.50,3.00,1.50,=,=,16.90,0.00,0.33,0.00,=,=,0.00,0.00,0.00,0.00,=,=,28.60,0.00,0.00,0.00,=,=,0.00,0.00,0.00,0.00,=,=,28.60,0.00,0.00,0.00,=,=,32.10,0.00,0.50,0.00,=,=,27.00,2.00,1.00,2.00,0.00,0.00,29.60,0.00,0.00,0.00,=,=,0.00,0.00,0.00,0.00,=,=,29.60,0.00,0.00,0.00,=,=,33.30,0.00,1.00,0.00,=,=,9.00,0.00,1.00,0.00,0.00,0.00,0.89,=,0.00,=,=,=,0.00,=,0.00,=,=,=,0.89,=,0.00,=,=,=,9.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,1.00,=,=,=,=,=,3.00,=,=,=,=,=,0.11,=,=,=,=,=,0.33,=,=,=,=,=,0.00,=,=,=,=,=,0.33,=,=,=,=,=,0.33,=,=,=,=,=,0.00,0.00,0.00,0.00,=,=,=,=,=,=,=,=,=,=,University of South Alabama IVF and ART Program,No,No,No,No,Yes,Yes,Yes,0.00,AL
7.00,PENINSULA MEDICAL CENTER,"JOHN NELS ANDERSON, MD",SOLDOTNA,ALASKA,1.00,0.59,0.00,0.00,0.00,0.24,0.25,0.19,0.08,0.00,0.52,0.19,0.11,0.12,0.38,85.00,0.00,"John N. Anderson, MD",34.00,9.00,12.00,5.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,2.70,2.60,2.80,3.00,1.00,2.50,8.00,21.70,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,=,0.00,8.80,0.11,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.70,0.33,0.17,0.00,0.00,0.00,14.70,0.33,0.17,0.00,0.00,0.00,32.00,9.00,9.00,3.00,1.00,2.00,9.40,0.11,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.60,0.33,0.22,0.00,0.00,0.00,15.60,0.33,0.22,0.00,0.00,0.00,5.00,3.00,2.00,0.00,0.00,0.00,0.60,0.33,1.00,=,=,=,0.00,0.00,0.00,=,=,=,1.00,1.00,1.00,=,=,=,13.00,3.00,2.00,0.00,0.00,0.00,13.00,3.00,2.00,0.00,0.00,0.00,1.10,3.00,1.00,=,=,=,2.30,2.00,1.50,=,=,=,3.30,0.00,0.00,=,=,=,0.08,0.00,0.00,=,=,=,0.00,0.00,0.00,=,=,=,0.08,0.00,0.00,=,=,=,0.23,0.00,0.00,=,=,=,3.00,0.00,2.00,0.00,2.50,=,0.00,=,0.00,=,0.00,=,0.00,=,"Peninsula Medical Center, John Nels Anderson, MD",No,No,No,No,Yes,No,No,0.00,AK
8.00,TROCHÉ FERTILITY CENTERS,,GLENDALE,ARIZONA,1.00,0.93,0.00,0.02,0.08,0.17,0.16,0.26,0.06,0.01,0.62,0.10,0.02,0.08,0.29,205.00,0.00,"Vladimir Troché, MD",63.00,36.00,19.00,12.00,3.00,0.00,4.80,5.60,0.11,0.25,0.00,=,2.00,2.30,3.20,4.10,2.30,=,34.80,18.70,25.50,10.80,0.00,=,12.70,6.50,0.06,0.00,0.00,=,23.80,19.40,0.32,0.17,0.00,=,0.00,2.80,0.00,0.00,0.00,=,39.70,25.00,0.42,0.25,0.00,=,44.40,33.30,0.42,0.25,0.00,=,57.00,33.00,17.00,9.00,3.00,0.00,26.30,21.20,0.35,0.22,0.00,=,0.00,3.00,0.00,0.00,0.00,=,43.90,27.30,0.47,0.33,0.00,=,49.10,36.40,0.47,0.33,0.00,=,28.00,12.00,8.00,3.00,0.00,0.00,53.60,0.58,0.75,0.67,=,=,0.00,0.08,0.00,0.00,=,=,89.30,0.75,1.00,1.00,=,=,24.00,21.00,7.00,0.00,1.00,2.00,22.00,18.00,7.00,0.00,1.00,2.00,1.70,2.30,1.40,=,=,=,1.70,1.80,2.30,=,1.00,1.50,26.30,25.00,0.19,=,0.00,0.00,27.30,0.33,0.00,=,0.00,0.00,0.00,0.00,0.00,=,0.00,0.00,27.30,0.39,0.00,=,0.00,0.00,36.40,0.39,0.43,=,0.00,0.00,10.00,7.00,10.00,6.00,1.70,2.50,0.29,0.07,0.50,0.17,0.50,0.17,0.50,0.17,Troché Fertility Centers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.00,AZ
9.00,ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS,,PHOENIX,ARIZONA,1.00,0.70,0.00,0.00,0.04,0.15,0.19,0.48,0.09,0.02,0.58,0.08,0.03,0.11,0.41,354.00,34.00,"Drew V. Moffitt, MD",67.00,25.00,27.00,14.00,3.00,2.00,7.50,12.00,18.50,0.07,0.00,0.00,2.00,2.10,2.00,2.10,2.00,4.00,20.80,13.20,14.70,8.00,0.00,0.00,8.80,0.13,0.00,0.00,0.00,0.00,23.90,12.00,14.80,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.90,12.00,14.80,0.07,0.00,0.00,32.80,20.00,22.20,0.21,0.00,0.00,59.00,18.00,17.00,12.00,1.00,1.00,27.10,0.17,0.24,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.50,0.17,0.24,0.08,0.00,0.00,37.30,0.28,0.35,0.25,0.00,0.00,22.00,5.00,6.00,3.00,0.00,0.00,72.70,0.60,0.67,0.33,=,=,0.00,0.00,0.00,0.00,=,=,81.80,0.60,0.67,0.33,=,=,77.00,27.00,25.00,8.00,2.00,1.00,75.00,23.00,21.00,8.00,2.00,0.00,1.70,2.60,3.50,1.00,1.00,=,1.60,1.70,1.90,1.90,1.00,=,24.00,23.70,35.00,0.00,0.00,=,18.70,13.00,19.00,0.00,0.00,=,0.00,0.00,0.00,0.00,0.00,=,25.30,26.10,38.10,0.00,0.00,=,36.00,30.40,42.90,0.00,0.00,=,13.00,29.00,12.00,22.00,1.70,1.60,55.00,19.40,0.17,9.10,0.50,18.20,0.58,27.30,Arizona Reproductive Medicine Specialists,Yes,Yes,Yes,No,Yes,Yes,Yes,0.00,AZ
10.00,SOUTHWEST FERTILITY CENTER,,PHOENIX,ARIZONA,1.00,0.57,0.00,0.00,0.03,0.22,0.08,0.31,0.17,0.09,0.48,0.09,0.06,0.09,0.28,85.00,0.00,"Sujatha Gunnala, MD",46.00,13.00,3.00,4.00,2.00,0.00,4.30,0.08,0.33,0.00,0.00,=,1.70,2.00,2.50,3.00,3.00,=,27.30,0.06,0.40,0.00,0.00,=,15.60,0.13,0.00,0.00,0.00,=,21.70,0.08,0.33,0.00,0.00,=,0.00,0.00,0.00,0.00,0.00,=,28.30,0.08,0.33,0.00,0.00,=,32.60,0.15,0.67,0.00,0.00,=,39.00,8.00,2.00,3.00,2.00,0.00,25.60,0.13,0.50,0.00,0.00,=,0.00,0.00,0.00,0.00,0.00,=,33.30,0.13,0.50,0.00,0.00,=,38.50,0.25,1.00,0.00,0.00,=,15.00,2.00,2.00,0.00,0.00,0.00,0.67,0.50,0.50,=,=,=,0.00,0.00,0.00,=,=,=,0.87,0.50,0.50,=,=,=,7.00,2.00,0.00,1.00,0.00,0.00,7.00,2.00,0.00,1.00,0.00,0.00,1.20,2.00,=,1.00,=,=,1.90,2.00,=,2.00,=,=,0.31,0.25,=,0.00,=,=,0.29,0.50,=,0.00,=,=,0.00,0.00,=,0.00,=,=,0.43,0.50,=,0.00,=,=,0.43,0.50,=,0.00,=,=,3.00,4.00,3.00,4.00,1.70,2.00,0.20,0.63,0.33,0.50,0.33,0.75,0.33,0.75,Southwest Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.00,AZ
