Year,Age,Egg_Type,Donor,cyc_num,b_rate,singl_b
2012,35,fresh,0,41796,22.4,936230
2012,37,fresh,0,20919,13.8,288682
2012,40,fresh,0,19558,8.9,174066
2012,42,fresh,0,10739,3.1,33291
2012,44,fresh,0,5046,0.6,3028
2012,46,fresh,0,1598,0.1,160
2012,35,frozen,0,17837,15.3,272906
2012,37,frozen,0,9045,8.4,75978
2012,40,frozen,0,6590,4.7,30973
2012,42,frozen,0,2728,1.4,3819
2012,44,frozen,0,1205,0.3,362
2012,46,frozen,0,763,0.1,76
2012,,fresh,1,10969,11,120659
2012,,frozen,1,8891,6.8,60459
2011,35,fresh,0,42059,27.2,1144005
2011,37,fresh,0,20963,22.9,480053
2011,40,fresh,0,21128,16.7,352838
2011,42,fresh,0,10733,10.2,109477
2011,44,fresh,0,4744,4.7,22297
2011,46,fresh,0,1586,1.1,1745
2011,35,frozen,0,15226,29.1,443077
2011,37,frozen,0,7599,28.2,214292
2011,40,frozen,0,5692,24.1,137177
2011,42,frozen,0,2104,20.2,42501
2011,44,frozen,0,886,14.7,13024
2011,46,frozen,0,673,13,8749
2011,,fresh,1,10797,35.1,378975
2011,,frozen,1,7733,27.2,210338
2010,35,fresh,0,41741,23.9,997610
2010,37,fresh,0,21366,14.5,309807
2010,40,fresh,0,21739,10.2,221738
2010,42,fresh,0,10120,3.2,32384
2010,44,fresh,0,4501,0.5,2251
2010,46,fresh,0,,,
2010,35,frozen,0,12631,17.4,219779
2010,37,frozen,0,6195,7.4,45843
2010,40,frozen,0,4682,4.3,20133
2010,42,frozen,0,1591,0.9,1432
2010,44,frozen,0,710,0.1,71
2010,46,frozen,0,,,
2010,,fresh,1,9866,18.9,186467
2010,,frozen,1,6665,8,53320
2009,35,fresh,0,42384,23.7,1004501
2009,37,fresh,0,21860,14.4,314784
2009,40,fresh,0,22144,10.2,225869
2009,42,fresh,0,9845,3.4,33473
2009,44,fresh,0,4857,0.5,2429
2009,46,fresh,0,,,
2009,35,frozen,0,11586,14.5,167997
2009,37,frozen,0,5851,6.4,37446
2009,40,frozen,0,4286,3.7,15858
2009,42,frozen,0,1378,0.8,1102
2009,44,frozen,0,683,0.2,137
2009,46,frozen,0,,,
2009,,fresh,1,10151,19.2,194899
2009,,frozen,1,6074,7.6,46162
2008,35,fresh,0,43296,24.3,1052093
2008,37,fresh,0,23326,14.7,342892
2008,40,fresh,0,21793,10.3,224468
2008,42,fresh,0,9783,3.1,30327
2008,44,fresh,0,4907,0.5,2454
2008,46,fresh,0,,,
2008,35,frozen,0,11343,14.9,169011
2008,37,frozen,0,5815,6.4,37216
2008,40,frozen,0,3899,3.4,13257
2008,42,frozen,0,1269,0.5,635
2008,44,frozen,0,590,0.1,59
2008,46,frozen,0,,,
2008,,fresh,1,10718,19.7,211145
2008,,frozen,1,5861,7.6,44544
2007,35,fresh,0,42127,23.7,998410
2007,37,fresh,0,23504,14.8,347859
2007,40,fresh,0,20612,9.8,201998
2007,42,fresh,0,9535,2.8,26698
2007,44,fresh,0,4814,0.6,2888
2007,46,fresh,0,,,
2007,35,frozen,0,10518,13.2,138838
2007,37,frozen,0,5388,6.3,33944
2007,40,frozen,0,3518,3.2,11258
2007,42,frozen,0,1126,0.5,563
2007,44,frozen,0,448,0.1,45
2007,46,frozen,0,,,
2007,,fresh,1,10321,19,196099
2007,,frozen,1,5633,7,39431
2006,35,fresh,0,41369,23.4,968035
2006,37,fresh,0,23376,14.8,345965
2006,40,fresh,0,19775,9.7,191818
2006,42,fresh,0,9346,2.8,26169
2006,44,fresh,0,,,
2006,46,fresh,0,,,
2006,35,frozen,0,10154,12.7,128956
2006,37,frozen,0,5299,5.2,27555
2006,40,frozen,0,3006,2.6,7816
2006,42,frozen,0,963,0.2,193
2006,44,frozen,0,,,
2006,46,frozen,0,,,
2006,,fresh,1,10049,18.9,189926
2006,,frozen,1,5456,6.6,36010
2005,35,fresh,0,41301,22.1,912752
2005,37,fresh,0,22622,13.8,312184
2005,40,fresh,0,19485,9,175365
2005,42,fresh,0,8997,2.8,25192
2005,44,fresh,0,,,
2005,46,fresh,0,,,
2005,35,frozen,0,9575,11.6,111070
2005,37,frozen,0,4801,5.3,25445
2005,40,frozen,0,2896,2.4,6950
2005,42,frozen,0,972,0.1,97
2005,44,frozen,0,,,
2005,46,frozen,0,,,
2005,,fresh,1,9649,17.7,170787
2005,,frozen,1,4997,6.3,31481
2004,35,fresh,0,40853,21.7,886510
2004,37,fresh,0,21019,13.1,275349
2004,40,fresh,0,19174,8.9,170649
2004,42,fresh,0,8487,2.5,21218
2004,44,fresh,0,,,
2004,46,fresh,0,,,
2004,35,frozen,0,8790,10.5,92295
2004,37,frozen,0,4123,4.4,18141
2004,40,frozen,0,2618,2.3,6021
2004,42,frozen,0,765,0.2,153
2004,44,frozen,0,,,
2004,46,frozen,0,,,
2004,,fresh,1,9283,16.5,153170
2004,,frozen,1,4439,5.3,23527
2003,35,fresh,0,37591,21,789411
2003,37,fresh,0,19110,14.1,269451
2003,40,fresh,0,17454,9.5,165813
2003,42,fresh,0,7733,2.3,17786
2003,44,fresh,0,,,
2003,46,fresh,0,,,
2003,35,frozen,0,7680,10.2,78336
