Year,Age,Metric,value
2010,35,multi,19.24
2010,37,multi,6.33
2010,40,multi,3.31
2010,42,multi,0.63
2010,44,multi,0.03
2010,35,cxld,5.66
2010,37,cxld,6.01
2010,40,cxld,7.24
2010,42,cxld,4.79
2010,44,cxld,2.49
2009,35,multi,19.70
2009,37,multi,6.79
2009,40,multi,3.75
2009,42,multi,0.42
2009,44,multi,0.03
2009,35,cxld,5.83
2009,37,cxld,6.32
2009,40,cxld,7.13
2009,42,cxld,4.64
2009,44,cxld,2.82
2008,35,multi,19.79
2008,37,multi,7.37
2008,40,multi,4.09
2008,42,multi,0.47
2008,44,multi,0.03
2008,35,cxld,5.91
2008,37,cxld,6.96
2008,40,cxld,8.29
2008,42,cxld,4.69
2008,44,cxld,2.45
2007,35,multi,19.60
2007,37,multi,7.57
2007,40,multi,3.27
2007,42,multi,0.59
2007,44,multi,0.02
2007,35,cxld,6.31
2007,37,cxld,7.25
2007,40,cxld,8.25
2007,42,cxld,4.60
2007,44,cxld,2.59
2006,35,multi,18.48
2006,37,multi,7.55
2006,40,multi,2.85
2006,42,multi,0.35
2006,44,multi,
2006,35,cxld,6.24
2006,37,cxld,7.88
2006,40,cxld,8.29
2006,42,cxld,4.61
2006,44,cxld,
2005,35,multi,18.64
2005,37,multi,6.75
2005,40,multi,3.30
2005,42,multi,0.31
2005,44,multi,
2005,35,cxld,7.12
2005,37,cxld,7.77
2005,40,cxld,7.59
2005,42,cxld,4.89
2005,44,cxld,
2004,35,multi,19.06
2004,37,multi,6.91
2004,40,multi,2.92
2004,42,multi,0.41
2004,44,multi,
2004,35,cxld,7.44
2004,37,cxld,7.41
2004,40,cxld,8.65
2004,42,cxld,4.76
2004,44,cxld,
2003,35,multi,21.01
2003,37,multi,7.32
2003,40,multi,3.45
2003,42,multi,0.34
2003,44,multi,
2003,35,cxld,7.06
2003,37,cxld,7.69
2003,40,cxld,8.71
2003,42,cxld,5.05
2003,44,cxld,
2002,35,multi,20.86
2002,37,multi,7.60
2002,40,multi,3.02
2002,42,multi,0.41
2002,44,multi,
2002,35,cxld,8.12
2002,37,cxld,8.22
2002,40,cxld,9.20
2002,42,cxld,5.15
2002,44,cxld,
2001,35,multi,19.29
2001,37,multi,5.87
2001,40,multi,2.82
2001,42,multi,0.32
2001,44,multi,
2001,35,cxld,8.35
2001,37,cxld,8.86
2001,40,cxld,9.49
2001,42,cxld,5.19
2001,44,cxld,
2000,35,multi,16.85
2000,37,multi,6.50
2000,40,multi,2.17
2000,42,multi,0.20
2000,44,multi,
2000,35,cxld,7.94
2000,37,cxld,8.24
2000,40,cxld,9.39
2000,42,cxld,5.08
2000,44,cxld,
1999,35,multi,17.54
1999,37,multi,5.93
1999,40,multi,2.26
1999,42,multi,0.27
1999,44,multi,
1999,35,cxld,8.01
1999,37,cxld,7.88
1999,40,cxld,8.27
1999,42,cxld,4.38
1999,44,cxld,
